ID,en,es,type,lexical_category,low_en,high_en,low_es,high_es
114,hereditary,hereditario,COGNATE,ADJ,The doctor informed him that the disease was <MASK>.,His <MASK> traits were evident in both his appearance and personality.,El médico le informó que la enfermedad era <MASK>.,Sus rasgos <MASK> eran evidentes tanto en su apariencia como en su personalidad.
115,vacant,vacante,COGNATE,ADJ,The room was <MASK> and waiting for new tenants.,The <MASK> lot was transformed into a beautiful park.,La habitación era <MASK> y esperaba nuevos inquilinos.,El lote <MASK> se transformó en un hermoso parque.
116,elegant,elegante,COGNATE,ADJ,She wore an <MASK> gown to the formal event.,"The <MASK> chandelier hung gracefully from the ceiling, casting soft light.",Ella usó un vestido <MASK> para el evento formal.,"La lámpara de araña <MASK> colgaba elegantemente del techo, proyectando una luz suave."
117,distant,distante,COGNATE,ADJ,The <MASK> mountains looked beautiful against the sunset.,He remembered the <MASK> memory of his childhood summer vacations.,Las montañas <MASK> se veían hermosas contra la puesta de sol.,Recordó el recuerdo de <MASK> de las vacaciones de verano de su infancia.
118,abnormal,anormal,COGNATE,ADJ,Her recent behavior was considered <MASK> by her peers.,The <MASK> results of the test led the doctors to conduct further examinations.,Su comportamiento reciente fue considerado <MASK> por sus compañeros.,Los resultados de la prueba <MASK> llevaron a los médicos a realizar más exámenes.
119,exceptional,excepcional,COGNATE,ADJ,"The student’s performance was <MASK>, earning her a scholarship.",He was recognized for his <MASK> work in community service.,"La actuación de la estudiante fue <MASK>, lo que le valió una beca.",Fue reconocido por su trabajo <MASK> en servicio comunitario.
120,national,nacional,COGNATE,ADJ,The <MASK> holiday was celebrated with parades and fireworks.,The <MASK> anthem was played at the start of the ceremony.,La festividad de la <MASK> se celebró con desfiles y fuegos artificiales.,El himno <MASK> se escuchó al inicio de la ceremonia.
121,accidental,accidental,COGNATE,ADJ,The <MASK> discovery changed the course of the research.,It was an <MASK> encounter that led to their lifelong friendship.,El descubrimiento de <MASK> cambió el curso de la investigación.,Fue un encuentro con <MASK> que los llevó a su amistad para toda la vida.
122,active,activo,COGNATE,ADJ,She remained <MASK> in the community even after retirement.,The <MASK> lifestyle he adopted significantly improved his health.,Ella permaneció <MASK> en la comunidad incluso después de jubilarse.,El estilo de vida <MASK> que adoptó mejoró significativamente su salud.
123,electric,eléctrico,COGNATE,ADJ,The <MASK> car was becoming more popular among consumers.,The<MASK> shock from the outlet surprised him for a moment.,El coche <MASK> se estaba volviendo cada vez más popular entre los consumidores.,El shock <MASK> del tomacorriente lo sorprendió por un momento.
124,flexible,flexible,COGNATE,ADJ,"The fabric of the dress is <MASK>, making it comfortable to wear.","His schedule was <MASK>, allowing him to work from home when needed.","La tela del vestido es <MASK>, lo que lo hace cómodo de llevar.","Su horario era <MASK>, lo que le permitía trabajar desde casa cuando era necesario."
125,perfect,perfecto,COGNATE,ADJ,"The presentation was nearly <MASK>, impressing the audience.",She wanted to create a <MASK> day for her sister's wedding.,"La presentación fue casi <MASK>, impresionando a la audiencia.",Quería crear un día <MASK> para la boda de su hermana.
126,admirable,admirable,COGNATE,ADJ,His dedication to charity work was <MASK>.,The athlete received an <MASK> award for his sportsmanship.,Su dedicación a obras de caridad fue <MASK>.,El atleta recibió un premio <MASK> por su espíritu deportivo.
127,artificial,artificial,COGNATE,ADJ,The cake was made with <MASK> flavors and colors.,The scientist created an <MASK> intelligence program that mimicked human behavior.,El pastel fue elaborado con <MASK> sabores y colores.,El científico creó un programa de inteligencia <MASK> que imitaba el comportamiento humano.
128,arbitrary,arbitrario,COGNATE,ADJ,The decision seemed <MASK> without any clear reasoning.,The judge's ruling was seen as <MASK> and unjust by many observers.,La decisión parecía <MASK> sin ningún razonamiento claro.,Muchos observadores consideraron <MASK> e injusto el fallo del juez.
129,temporary,temporario,COGNATE,ADJ,The <MASK> job allowed her to save money for college.,They put up <MASK> barriers to prevent the construction area from being accessed.,El trabajo de <MASK> le permitió ahorrar dinero para la universidad.,Colocaron barreras <MASK> para impedir el acceso a la zona de construcción.
130,organic,orgánico,COGNATE,ADJ,The farmer used <MASK> methods to grow his crops.,She preferred <MASK> produce because it was healthier and better for the environment.,El granjero utilizó métodos <MASK> para cultivar sus cultivos.,Prefería los productos <MASK> porque eran más saludables y mejores para el medio ambiente.
131,systematic,sistemático,COGNATE,ADJ,The <MASK> approach helped them solve the problem efficiently.,His <MASK> method for organizing files made finding documents much easier.,El enfoque <MASK> les ayudó a resolver el problema de manera eficiente.,Su método <MASK> para organizar archivos facilitó mucho la búsqueda de documentos.
132,precious,precioso,COGNATE,ADJ,The <MASK> gem sparkled in the sunlight.,The <MASK> memories from her childhood always made her smile.,La gema <MASK> brillaba a la luz del sol.,Los recuerdos de <MASK> de su infancia siempre la hacían sonreír.
133,mysterious,misterioso,COGNATE,ADJ,The <MASK> package arrived without a return address.,The story unfolded with many <MASK> elements that kept readers guessing.,El paquete <MASK> llegó sin dirección de remitente.,La historia se desarrolló con muchos elementos <MASK> que mantuvieron a los lectores adivinando.
134,correct,correcto,COGNATE,ADJ,"The answer was <MASK>, according to his calculations.",She made sure her sources were <MASK> before submitting her paper.,"La respuesta fue <MASK>, según sus cálculos.",Se aseguró de que sus fuentes fueran <MASK> antes de enviar su artículo.
135,compact,compacto,COGNATE,ADJ,The <MASK> car was easy to park in the crowded city.,The <MASK> design of the gadget made it convenient for travel.,El auto <MASK> fue fácil de estacionar en la concurrida ciudad.,El diseño <MASK> del dispositivo lo hacía conveniente para viajar.
136,abstract,abstracto,COGNATE,ADJ,"The artist’s style was <MASK>, leaving much to interpretation.",The gallery featured <MASK> paintings that evoked a range of emotions.,"El estilo del artista era <MASK>, dejando mucho a la interpretación.",La galería presentaba pinturas de <MASK> que evocaban una variedad de emociones.
137,tedious,tedioso,COGNATE,ADJ,The task became <MASK> after hours of repetition.,The <MASK> process of assembling the furniture took much longer than expected.,La tarea se convirtió en <MASK> después de horas de repetición.,El proceso de <MASK> para ensamblar los muebles tomó mucho más tiempo de lo esperado.
138,basic,básico,COGNATE,ADJ,"The recipe was <MASK>, perfect for beginner cooks.",He needed to understand the <MASK> principles of math before moving on to advanced topics.,"La receta era <MASK>, perfecta para cocineros principiantes.",Necesitaba comprender los principios matemáticos de <MASK> antes de pasar a temas avanzados.
139,artistic,artístico,COGNATE,ADJ,The painting was known for its <MASK> expression and vibrant colors.,The <MASK> community gathered to showcase their latest paintings.,La pintura era conocida por su expresión <MASK> y colores vibrantes.,La comunidad <MASK> se reunió para mostrar sus últimas pinturas.
140,classic,clásico,COGNATE,ADJ,The <MASK> novel was required reading for the literature class.,"She loved listening to the <MASK> music of the past, especially Beethoven.",La novela <MASK> era lectura obligatoria para la clase de literatura.,"Le encantaba escuchar la música <MASK> del pasado, especialmente Beethoven."
141,advertisement,advertencia,FALSE COGNATE,N,The <MASK> appeared on the side of the webpage.,The <MASK> for the new smartphone highlighted its cutting-edge features and sleek design.,Ayer recibí una <MASK> de mi maestro.,La policía dejó ir a los delincuentes juveniles con una <MASK> severa.
142,balloon,balón,FALSE COGNATE,N,She bought a colorful <MASK> for her child.,The <MASK> floated gently into the sky after it slipped from her grasp at the fair.,Los niños jugaron con una <MASK> en el parque.,El jugador dribló la <MASK> por la cancha antes de realizar un pase perfecto a su compañero de equipo.
143,cave,cava,FALSE COGNATE,N,They explored a dark <MASK> during their hike.,"Inside the <MASK>, the explorers found ancient paintings on the walls.",Lo celebramos con <MASK> anoche.,"En la recepción de la boda, la pareja brindó con <MASK> añejo de un famoso viñedo francés."
144,carpet,carpeta,FALSE COGNATE,N,The new <MASK> was soft and comfortable to walk on.,She chose a thick <MASK> that would insulate the room during winter.,Puse los papeles en una <MASK>.,El director del proyecto entregó una <MASK> de tres anillos llena de informes financieros detallados para la próxima reunión.
145,diversion,diversión,FALSE COGNATE,N,The road <MASK> was put in place due to construction.,The unexpected <MASK> caused them to miss their flight as they were rerouted through unfamiliar streets.,La <MASK> comenzó tan pronto como todos llegaron.,"La <MASK> del carnaval estuvo en los vibrantes desfiles, emocionantes atracciones y deliciosos puestos de comida."
146,vase,vaso,FALSE COGNATE,N,"As he walked through the room, his attention shifted from the window to an old <MASK> sitting in the corner",She arranged the freshly cut flowers and placed them delicately in the <MASK> on the dining room table.,Estaba buscando pistas en la habitación cuando sus ojos se posaron en la <MASK> sobre la mesa.,Cogió la <MASK> del mostrador de la cocina para tomar un sorbo de su jugo.
147,parade,parada,FALSE COGNATE,N,The town held a <MASK> every year for Independence Day.,"The massive <MASK> marched down the city’s main street, with colorful floats and music filling the air.",Siguieron caminando hasta llegar a la <MASK>.,"Esperó el autobús en el concurrido <MASK>, mirando nerviosamente su reloj a medida que pasaban los minutos."
148,code,codo,FALSE COGNATE,N,He cracked the secret <MASK> with ease.,The spy had to memorize a complex <MASK> to decipher the hidden message in the documents.,Se lastimó su <MASK> mientras practicaba deportes.,"Después de realizar un potente saque durante el partido de tenis, sintió un dolor agudo en su <MASK> y tuvo que tomar un descanso."
149,arm,arma,FALSE COGNATE,N,He injured his <MASK> while playing football.,She held the baby in one <MASK> while balancing the groceries with the other.,Se sorprendió al encontrar una <MASK> en el viejo cofre.,El soldado agarró con fuerza su <MASK> mientras se preparaba para la misión.
150,casualty,casualidad,FALSE COGNATE,N,The war resulted in heavy <MASK> numbers.,"The medical team attended to each <MASK> in the field hospital, despite the overwhelming number of wounded soldiers.","Mientras revisaba sus notas, se preguntó si había alguna <MASK> entre los dos eventos.",No fue <MASK> que ambos llegaron al mismo lugar exactamente al mismo tiempo.
151,alcove,alcoba,FALSE COGNATE,N,She sat in a small <MASK> in the library to read.,"The secret meeting took place in an <MASK> hidden behind a curtain, away from prying eyes.",Esperaba encontrar su arete en la <MASK>.,Entró en la <MASK> e inmediatamente notó la cama recién hecha y la luz del sol entrando a través de las cortinas.
152,signature,asignatura,FALSE COGNATE,N,The artist added his <MASK> to the corner of the painting.,She carefully examined the <MASK> on the contract to verify its authenticity.,No podía recordar la <MASK> de la que se habló.,"El profesor explicó la <MASK> en detalle, asegurándose de que todos los estudiantes entendieran el material antes del examen."
153,bark,barco,FALSE COGNATE,N,The dog’s <MASK> echoed through the quiet street.,The old tree’s <MASK> was rough and peeling after years of weathering storms.,"Mientras leía la carta antigua, se encontró con un pasaje que mencionaba una <MASK>.",El capitán dio la orden y la <MASK> zarpó hacia la lejana isla.
154,cask,casco,FALSE COGNATE,N,The <MASK> was filled with wine for aging.,"They opened the ancient <MASK> that had been buried for centuries, revealing a rare vintage.","Mientras rebuscaba en el garaje, encontró una vieja <MASK> que pertenecía a su padre.","Antes de subirse a su motocicleta, se aseguró de ponerse su <MASK> por seguridad."
155,exit,éxito,FALSE COGNATE,N,The <MASK> sign pointed to the nearest door.,"During the emergency, they rushed toward the <MASK>, hoping to escape the fire quickly.",Mencionaron brevemente la <MASK> del evento durante su reunión semanal.,"Después de años de arduo trabajo y dedicación, finalmente logró la <MASK> que siempre había soñado."
156,date,dato,FALSE COGNATE,N,They set a <MASK> for their next meeting.,"Their first <MASK> at the café was filled with laughter and conversation, sparking the start of their relationship.",Se encontró con una <MASK> que no conocía antes.,Enfatizó a <MASK> que el éxito de su proyecto dependía enteramente de cumplir con la próxima fecha límite.
157,deception,decepción,FALSE COGNATE,N,His <MASK> was uncovered during the investigation.,The <MASK> was so carefully planned that no one suspected anything until it was too late.,La película resultó ser una <MASK>.,"Después de años de promesas incumplidas y crecientes frustraciones, su <MASK> con la empresa se volvió inevitable."
158,discussion,discusión,FALSE COGNATE,N,They had a long <MASK> about the future of the project.,The meeting was scheduled specifically for a detailed <MASK> about the upcoming project deadline.,Tenían una <MASK> mientras planificaban el proyecto.,La antigua <MASK> entre las dos familias se convirtió en una batalla legal que duró años.
159,expectation,expectación,FALSE COGNATE,N,Her <MASK> was that the package would arrive by Friday.,The team's <MASK> of winning the championship motivated them to train harder every day.,Hubo una sensación creciente de <MASK> mientras leía las primeras líneas de la carta.,"El público esperó con impaciencia <MASK> mientras el telón comenzaba a levantarse lentamente, señalando el inicio de la actuación."
160,fabric,fábrica,FALSE COGNATE,N,The dress was made of fine <MASK>.,The lightweight <MASK> of the curtains allowed sunlight to gently filter into the room.,La <MASK> estuvo ruidosa todo el día.,El automóvil <MASK> en Detroit aumentó su producción para satisfacer la creciente demanda de vehículos eléctricos.
161,float,flota,FALSE COGNATE,N,The <MASK> in the parade was decorated with flowers and streamers.,"The parade featured an elaborate <MASK> designed to resemble a giant peacock, dazzling the crowd with its vibrant colors.","Mientras caminaban por la cubierta, no se dieron cuenta de la presencia de una <MASK> cerca.","El almirante ordenó a la <MASK> zarpar al amanecer, lista para su misión a través del océano."
162,gratification,gratificación,FALSE COGNATE,N,The instant <MASK> of winning the game was thrilling.,The <MASK> of completing a difficult project was far more rewarding than she had expected.,Trabajó duro para ganarse su <MASK>.,"Los clientes dejaron una generosa <MASK> para su camarero, apreciando el excelente servicio durante toda la cena."
163,inconvenience,inconveniencia,FALSE COGNATE,N,The delay caused some <MASK> to the passengers.,The flight cancellation was a major <MASK> for travelers who had urgent commitments.,Recordó un incidente de hace años y se preguntó si había sido una instancia de <MASK>.,El comité decidió investigar las acusaciones de <MASK> en el manejo de fondos para el evento benéfico.
164,idiom,idioma,FALSE COGNATE,N,He didn’t understand the <MASK> used in the conversation.,The <MASK> “raining cats and dogs” confused the foreign students learning English.,Los personajes de la película hablaban con una <MASK> única.,Estaba fascinada por cómo se producía la comunicación a través de <MASK>.
165,informality,informalidad,FALSE COGNATE,N,Their <MASK> made the dinner feel relaxed and enjoyable.,The <MASK> of the meeting allowed everyone to contribute freely without the pressure of a formal agenda.,Mencionó una preocupación general que había surgido sobre <MASK> sin entrar en detalles.,"El estudio fue descartado debido a la <MASK> de las fuentes, que no proporcionaron resultados consistentes."
166,ingenuity,ingenuidad,FALSE COGNATE,N,His <MASK> helped him solve the complex problem.,The inventor's <MASK> in designing the water purifier earned him international recognition.,Apreciaba su honestidad pero no estaba seguro de si <MASK> era siempre el mejor enfoque en tales situaciones.,"La <MASK> del CEO durante la reunión impresionó a los empleados, mientras hablaba abiertamente de los desafíos que enfrenta la empresa."
167,injury,injuria,FALSE COGNATE,N,She suffered an <MASK> while skiing.,The football player’s knee <MASK> was severe enough to sideline him for the rest of the season.,Recordó un momento que se sintió como una <MASK>.,"Se alejó de la conversación, herido por la <MASK> que había surgido de la nada."
168,journal,jornal,FALSE COGNATE,N,He kept a <MASK> of his daily activities.,The explorer’s <MASK> detailed every step of the journey through the dense Amazon rainforest.,Mencionó el concepto de <MASK> sin entrar en detalles sobre su propia situación.,"Después de revisar el presupuesto, el gerente decidió aumentar la <MASK> para todos los trabajadores para reflejar el aumento del costo de vida."
169,jubilation,jubilación,FALSE COGNATE,N,The room was filled with <MASK> after they won the game.,The <MASK> of the crowd erupted as the winning goal was scored in the final seconds of the match.,El día de su <MASK> fue una ocasión de gran alegría.,"Después de años de dedicado servicio, finalmente celebró su <MASK> con una fiesta rodeada de amigos y colegas."
170,lecturer,lector,FALSE COGNATE,N,The <MASK> spoke on various topics throughout the semester.,The <MASK> captivated the students with her engaging class on the latest breakthroughs in neuroscience.,Le preocupaba que su ensayo no fuera bien recibido por la <MASK>.,"El ávido <MASK> devoró la novela de una sola sentada, cautivado por la historia desde la primera página."
171,library,librería,FALSE COGNATE,N,She borrowed a book from the <MASK>.,"The grand <MASK> housed thousands of rare manuscripts, attracting scholars from around the world.",Visité la <MASK> ayer.,"El centro de <MASK> organizó una venta y un evento de firma de libros con un autor de gran éxito, atrayendo a una gran multitud de fanáticos entusiasmados."
172,lantern,linterna,FALSE COGNATE,N,The <MASK> illuminated the dark room.,"The <MASK> flickered in the wind, casting eerie shadows along the path during their night hike.",Necesito pilas para la <MASK>.,"Durante el viaje de campamento, se dieron cuenta de que habían olvidado la <MASK>, dejándolos en la oscuridad cuando se fue la luz."
173,mantle,mantel,FALSE COGNATE,N,The <MASK> above the fireplace was decorated with family photos.,The ornate <MASK> was carved from marble and featured intricate designs passed down through generations.,Se encontró con una <MASK> que pertenecía a su abuela.,"Antes de la cena, colocó cuidadosamente la elegante <MASK> sobre la mesa del comedor para crear el ambiente perfecto para sus invitados."
174,mascara,máscara,FALSE COGNATE,N,She applied <MASK> to her lashes before leaving for the event.,The waterproof <MASK> stayed intact even after she was caught in the rainstorm.,"Encontró un objeto que parecía una <MASK>, pero no estaba seguro.","Antes de entrar al lugar lleno de gente, todos debían usar una <MASK> para garantizar su seguridad."
175,meeting,mitin,FALSE COGNATE,N,The <MASK> was scheduled for 10 a.m.,The boardroom <MASK> became tense as executives debated the future of the company’s strategy.,Fui al <MASK>.,"El mitin político atrae a <MASK> de personas, generando debates acalorados sobre las reformas sociales y el futuro del país."
176,motto,moto,FALSE COGNATE,N,"Their <MASK> was “work hard, play harder.”",The university's <MASK> encapsulated its commitment to excellence in education and research.,Estaba pensando en pedir prestada la nueva <MASK> de su hermano.,"Después de ahorrar durante años, finalmente compró una <MASK> y la llevó a dar un paseo por la costa."
177,office,oficio,FALSE COGNATE,N,He works in an <MASK> downtown.,The quiet <MASK> allowed for uninterrupted focus on critical projects.,Mencionó casualmente algunas opciones para una <MASK> sin dar más detalles.,"Después de años de arduo trabajo y dedicación, finalmente logró su sueño <MASK> como doctora, lista para ayudar a otros necesitados."
178,parent,pariente,FALSE COGNATE,N,The <MASK> helped the child with homework.,"As a single <MASK>, she balanced raising two kids with a demanding full-time job.","Mencionó una <MASK> que no había visto en años, pero no podía recordar su nombre.","En la reunión familiar, conocieron a una <MASK> distante que vivía en el extranjero."
179,pain,pena,FALSE COGNATE,N,He felt sharp <MASK> in his back.,The emotional <MASK> of losing a loved one was more intense than any physical injury.,Sintió una sensación de <MASK> que nunca antes había sido reconocida.,"Después de la pérdida de su querida mascota, <MASK> la abrumó y le resultó difícil seguir con su rutina diaria."
180,pot,pote,FALSE COGNATE,N,She cooked the soup in a large <MASK>.,The ancient <MASK> found during the excavation gave archaeologists insight into the daily lives of past civilizations.,Vio una misteriosa <MASK> en el jardín.,"Cogió la <MASK> en el estante superior, girando con cuidado la tapa para recuperar la mermelada casera del interior."
181,alumnus,alumno,FALSE COGNATE,N,The <MASK> donated generously to his alma mater.,The <MASK> gave a heartfelt speech about the importance of education at the university's annual gala.,La <MASK> estaba completamente agotada al final del día.,"La <MASK> levantó la mano para hacer una pregunta durante la conferencia, ansiosa por aclarar el tema que se estaba discutiendo."
182,anxiety,ansiedad,FALSE COGNATE,N,He felt overwhelming <MASK> before the presentation.,The student's <MASK> was so severe that he struggled to focus on his exams.,"Mientras miraba por la ventana, sintió una vaga sensación de <MASK>.","Después de meses de separación, se llenó de una profunda <MASK> por reunirse con su familia y amigos."
183,apology,apología,FALSE COGNATE,N,He offered a sincere <MASK> for his mistake.,Her heartfelt <MASK> finally mended the rift between her and her best friend.,"Durante la reunión, alguien mencionó la necesidad de un discurso, pero no estaba claro si sería una <MASK>.","Mientras estaba en el podio, se preparó para pronunciar una sentida <MASK> en honor a su difunta abuela, reflexionando sobre su impacto en sus vidas."
184,assistance,asistencia,FALSE COGNATE,N,The teacher provided <MASK> with the assignment.,The disaster relief team offered crucial <MASK> to the flood victims in the aftermath of the storm.,"Durante la reunión, discutieron varios temas, pero no hubo ninguna mención específica a <MASK>.",El maestro tomó <MASK> al comienzo de la clase para asegurarse de que todos los estudiantes estuvieran presentes para la importante discusión.
185,baggage,bagaje,FALSE COGNATE,N,She packed her <MASK> for the trip.,The excessive <MASK> fees at the airport caused them to rethink what they packed for their vacation.,Mientras estaba en la estación de tren notó una <MASK> en el andén.,"El ejército mostró su última <MASK> durante la exposición, incluidos drones avanzados y vehículos blindados."
186,verandah,baranda,FALSE COGNATE,N,They enjoyed breakfast on the <MASK> overlooking the garden.,The spacious <MASK> was filled with potted plants and cozy seating for afternoon tea.,"En el crepúsculo, las sombras danzaban alrededor de la <MASK>, insinuando historias no contadas.","Deslizó su mano a lo largo de la <MASK> mientras descendía las escaleras, sintiendo la suave madera bajo sus dedos."
187,barracks,barraca,FALSE COGNATE,N,The soldiers returned to their <MASK> after the drill.,"The <MASK> were old and rundown, but they provided shelter for the troops stationed overseas.",Vio una <MASK> a través de la niebla y caminó hacia ella.,"Después de un largo día de caminata, finalmente llegaron a la acogedora <MASK> donde pudieron descansar y calentarse junto al fuego."
188,bigot,bigote,FALSE COGNATE,N,The <MASK> refused to acknowledge other perspectives.,The <MASK> made offensive remarks created a hostile environment that prompted widespread condemnation.,No tiene <MASK>.,"El detective, conocido por su gruesa <MASK> y su agudo ingenio, resolvió el caso en un tiempo récord."
189,blank,blanco,FALSE COGNATE,N,"He stared at the <MASK> on the form, unsure of what to write.",The <MASK> in the contract needed to be filled in with precise legal terms before it could be finalized.,Pudo completar la <MASK> antes de la fecha límite.,"El arquero respiró hondo, concentrándose intensamente en la <MASK> antes de soltar la flecha con precisión."
190,boutique,botica,FALSE COGNATE,N,She bought a dress from the new <MASK> downtown.,The trendy <MASK> was known for carrying exclusive designer brands.,"Pasó por un edificio que parecía ser una <MASK>, pero no se detuvo a comprobarlo.",Rápidamente corrió a la <MASK> para recoger su receta médica antes de que cerrara por la noche.
191,bland,blando,FALSE COGNATE,ADJ,The soup tasted <MASK>.,"The chef’s new dish was surprisingly <MASK>, lacking the usual spices that made his food stand out.",La tela se sintió <MASK> cuando sus dedos la rozaron sin pensarlo mucho.,"El toque de la enfermera fue <MASK> mientras limpiaba cuidadosamente la herida, asegurándose de no causar más dolor."
192,ancient,anciano,FALSE COGNATE,ADJ,The ruins of the city were <MASK>.,The <MASK> civilization left behind artifacts that revealed the complexities of their culture and technology.,"En la fiesta, había alguien en la esquina que parecía <MASK>, pero no miró de cerca.","El hombre <MASK> se sentó en el banco del parque con su bastón, alimentando a las palomas y sonriendo a los transeúntes."
193,anxious,ansioso,FALSE COGNATE,ADJ,She felt <MASK> before the exam.,"The student became increasingly <MASK> as the deadline for her final project approached, fearing she wouldn't complete it in time.","En la acalorada discusión, una persona parecía un poco <MASK>, pero no estaba claro por qué.",El empresario <MASK> siempre buscó formas de tomar atajos y aumentar sus márgenes de beneficio.
194,apparent,aparente,FALSE COGNATE,ADJ,The solution to the problem was <MASK> after a few moments of thinking.,"After several failed attempts to fix the issue, it became <MASK> that the software had a critical bug.",Eligieron un lugar de encuentro que parecía <MASK>.,"El nuevo apartamento está en una ubicación <MASK>, a sólo cinco minutos de su oficina y del supermercado."
195,callous,calloso,FALSE COGNATE,ADJ,His response was <MASK> and hurtful.,The manager’s <MASK> disregard for his employees’ concerns led to widespread dissatisfaction in the company.,Notó un parche <MASK> en su piel.,Le aconsejaron que comprara algo para suavizar sus codos <MASK>.
196,candid,cándido,FALSE COGNATE,ADJ,She was <MASK> in her feedback.,The politician’s <MASK> interview revealed the inner workings of her campaign and the challenges she faced.,"Entre la multitud, vio una cara que parecía <MASK>.",El jurado encontró al joven <MASK> después de escuchar todas las pruebas presentadas ante el tribunal.
197,zealous,celoso,FALSE COGNATE,ADJ,He was <MASK> about his new project.,The activist’s <MASK> commitment to environmental protection inspired others to join the cause.,"Mientras conversaban, ella notó un toque de <MASK> en su tono.",Se convirtió en <MASK> cuando vio a su amigo recibir elogios por el proyecto en el que ambos trabajaron.
198,coloured,colorado,FALSE COGNATE,ADJ,The walls were brightly <MASK>.,The artist’s <MASK> illustrations brought a vibrant energy to the children’s book.,Llevaba un vestido <MASK>.,El brillante uniforme <MASK> del bombero se destacó contra el fondo lleno de humo mientras rescataba valientemente al gato atrapado del árbol.
199,comprehensive,comprensivo,FALSE COGNATE,ADJ,The book provided a <MASK> overview of the topic.,"The <MASK> study covered every aspect of the environmental impact, from climate change to wildlife preservation.",Era conocida por ser una profesora muy <MASK>.,Su naturaleza <MASK> hizo que fuera fácil para sus amigos confiar en ella en tiempos difíciles.
200,conservative,conservativo,FALSE COGNATE,ADJ,He had <MASK> views on politics.,The senator's <MASK> fiscal policy emphasized cutting government spending and reducing taxes.,La sal es el elemento <MASK>.,El fabricante de alimentos agregó un ingrediente <MASK> para extender la vida útil del producto.
201,convenient,conveniente,FALSE COGNATE,ADJ,The new system was very <MASK>.,The <MASK> mobile app allowed customers to order groceries from the comfort of their homes and have them delivered within an hour.,Parecía que <MASK> hablaba.,"El comité se aseguró de seleccionar un candidato de <MASK> para el puesto, teniendo en cuenta cuidadosamente sus calificaciones y experiencia."
202,derogatory,derogatorio,FALSE COGNATE,ADJ,His comment was <MASK> and offensive.,The <MASK> remarks he made about the team's performance led to a formal complaint being filed.,La política <MASK> fue aprobada.,La política <MASK> finalmente trajo alivio a los afectados por la injusta ley.
203,dishonest,deshonesto,FALSE COGNATE,ADJ,The salesman was <MASK> about the product’s quality.,His <MASK> behavior cost him his job when the company discovered he had been falsifying reports for years.,Su atuendo parecía <MASK> para la ocasión.,"Los comentarios de <MASK> de la celebridad durante la entrevista provocaron reacciones negativas, ya que muchos los encontraron jactanciosos y carentes de humildad."
204,effective,efectivo,FALSE COGNATE,ADJ,The treatment was highly <MASK>.,"The new advertising campaign proved <MASK>, resulting in a significant increase in sales.",No sabía si ese era el itinerario de <MASK> para su viaje.,No conocemos la causa <MASK> del SIDA.
205,egregious,egregio,FALSE COGNATE,ADJ,His actions were <MASK> violations of the rules.,The company's <MASK> disregard for environmental regulations led to a massive public backlash.,Ella tenía una carrera <MASK>.,Sus logros con <MASK> en el campo de la medicina le valieron el reconocimiento internacional y numerosos premios prestigiosos.
206,embarrassed,embarazada,FALSE COGNATE,ADJ,She felt <MASK> by the mistake she made.,The <MASK> student tried to hide her flushed face after giving an incorrect answer in front of the class.,Le dijo a su hermano que ella era <MASK>.,"Después de su chequeo, el médico confirmó que tenía seis meses <MASK> y analizó su plan de parto y sus opciones de atención prenatal."
207,invidious,envidioso,FALSE COGNATE,ADJ,The policy had <MASK> consequences.,"The new rule was seen as <MASK>, creating resentment and divisions among the employees.",Sintió <MASK> de su éxito.,"Ver el rápido ascenso de su amigo en la empresa lo dejó sintiéndose <MASK>, a pesar de su propio progreso constante en su carrera."
208,erratic,errático,FALSE COGNATE,ADJ,His driving was <MASK> and unpredictable.,The athlete’s <MASK> performance in the finals surprised everyone after his consistently strong showing during the season.,Su estancia fue <MASK>.,"Debido a su naturaleza <MASK>, el trabajo estacional atrajo a un grupo rotativo de empleados, cada uno de los cuales se quedó solo durante unos meses."
209,stolid,estólido,FALSE COGNATE,ADJ,His expression remained <MASK> despite the bad news.,"Even during the intense debate, his <MASK> demeanor never wavered, showing no emotion or reaction.",Ella tomó una decisión <MASK>.,"Su error con la <MASK> durante la presentación le costó credibilidad ante la junta, destacando la necesidad de una preparación minuciosa."
210,extemporaneous,extemporáneo,FALSE COGNATE,ADJ,He gave an <MASK> speech at the event.,"The <MASK> nature of her presentation made it all the more impressive, as she spoke without notes or preparation.",Sus comentarios fueron <MASK>.,"Los comentarios del político <MASK> durante la crisis provocaron indignación, eclipsando el mensaje de unidad pretendido."
211,extravagant,extravagante,FALSE COGNATE,ADJ,Her shopping habits were <MASK>.,"His <MASK> lifestyle, complete with luxury cars and designer clothes, quickly drained his savings.",Esa fue una coincidencia de <MASK>.,"Su obsesión con <MASK> por coleccionar taxidermia antigua llamó la atención en las reuniones sociales, lo que provocó reacciones encontradas entre los invitados."
212,fastidious,fastidioso,FALSE COGNATE,ADJ,She was <MASK> about keeping her room clean.,The <MASK> chef inspected every ingredient to ensure it met his exacting standards before beginning to cook.,El comportamiento del niño parecía <MASK>.,"Su risa <MASK> llenó la habitación, ahogando la conversación y dificultando la participación de los demás."
