ID,en,en_meaning,de,de_meaning,type,lexical_category,
211,blamable,deserving blame : reprehensible,blamabel,shameful,FALSE COGNATE,ADJ,
212,devoted,characterized by loyalty and devotion,devot,"submissive, exaggeratedly devoted",FALSE COGNATE,ADJ,
213,foul,offensive to the senses : loathsome,faul,"work-shy, unwilling to work",FALSE COGNATE,ADJ,
214,homely,suggestive or characteristic of a place of residence or home,heimlich,"hidden from others or as inconspicuous as possible, especially because it is forbidden, undesirable or unpleasant or embarrassing to oneself",FALSE COGNATE,ADJ,
215,inconsequential,of no significance : unimportant,inkonsequent,"inconsistent, contradictory",FALSE COGNATE,ADJ,
216,cross,marked by typically transitory bad temper,kroß,"crispy, crusty",FALSE COGNATE,ADJ,
217,mundane,"of, relating to, or characteristic of the world",mondän,"(exclusively) concerned with a fashionably elegant appearance (and lifestyle), strikingly elegant",FALSE COGNATE,ADJ,
218,net,"an open-meshed fabric twisted, knotted, or woven together at regular intervals",nett,"Likeable, sympathetic",FALSE COGNATE,ADJ,
219,eventual,"contingent, conditional",eventuell,"expresses that one considers something: with a rather low probability, under certain circumstances",FALSE COGNATE,ADJ,
220,rusty,affected by or as if by rust; especially : stiff with or as if with rust,rüstig,"(still) strong, active, efficient",FALSE COGNATE,ADJ,
221,scrupulous,having moral integrity : acting in strict regard for what is considered right or proper,skrupellos,"without scruples, unrestrained, reckless, unscrupulous",FALSE COGNATE,ADJ,
222,spendable,to use up or pay out : expend,spendabel,"generous, generous",FALSE COGNATE,ADJ,
223,sufficient,enough to meet the needs of a situation or a proposed end,süffisant,condescending and complacent,FALSE COGNATE,ADJ,
224,temperamental,marked by excessive sensitivity and impulsive mood changes,temperamentvoll,"full of temperament, lively",FALSE COGNATE,ADJ,
225,unkindly,not kindly,unkindlich,"not childlike, precocious",FALSE COGNATE,ADJ,
226,ungracious,wicked,ungraziös,without grace,FALSE COGNATE,ADJ,
227,wounded,"njured, hurt by, or suffering from a wound",wund,"slightly injured on the surface of the skin by friction, abrasion",FALSE COGNATE,ADJ,
228,wonderful,"exciting wonder : marvelous, astonishing",wunderlich,"strange, odd",FALSE COGNATE,ADJ,
229,unalphabetical,"not alphabetic, or not relating to",analphabetisch,illiterate,FALSE COGNATE,ADJ,
230,exalted,raised high,exaltiert,"(artificially) excited, hysterically excited, artificially exaggerated",FALSE COGNATE,ADJ,
231,comical,causing laughter especially because of a startlingly or unexpectedly humorous impact,komisch,"strange, peculiar, surprising",FALSE COGNATE,ADJ,
232,serious,thoughtful or subdued in appearance or manner : sober,seriös,"elegant, dignified and appearing with integrity",FALSE COGNATE,ADJ,
233,indecent,grossly improper or offensive,indezent,"obtrusive, not subtle",FALSE COGNATE,ADJ,
234,communal,characterized by collective ownership and use of property,kommunal,"local, belonging to a municipality",FALSE COGNATE,ADJ,
235,crafty,"skillful, clever",kräftig,"strong, powerful; well developed",FALSE COGNATE,ADJ,
236,lilac,a variable color averaging a moderate purple,lila,"pink-violet, purple",FALSE COGNATE,ADJ,
237,lumpy,filled or covered with lumps,lumpig,"mean, vile, worthless",FALSE COGNATE,ADJ,
238,middle-aged,the period of life from about 45 to about 64,mittelalterlich,"relating to the Middle Ages, originating from the Middle Ages",FALSE COGNATE,ADJ,
239,momentous,"having great or lasting importance : consequential, significant",momentan,momentary or present,FALSE COGNATE,ADJ,
240,personal,"of, relating to, or affecting a particular person : private, individual",personell,concerning the staff,FALSE COGNATE,ADJ,
241,boot,a fitted covering (as of leather or rubber) for the foot that usually reaches above the ankle,boot,"small, uncovered watercraft with oars or sails",FALSE COGNATE,N,
242,provision,the fact or state of being prepared beforehand,provision,"usual remuneration for the provision or mediation of business, commercial transactions through a percentage share of the turnover or profit, especially for private retailers, sales representatives, brokers",FALSE COGNATE,N,
243,gift,something voluntarily transferred by one person to another without compensation,gift,Substance that causes a destructive or fatal effect in the body when it is administered in a certain amount,FALSE COGNATE,N,
244,chef,a skilled professional cook; specifically : one who is in charge of a professional kitchen,chef,"responsible manager ; owner (of a business, company)",FALSE COGNATE,N,
245,fee,a fixed charge,fee,"beautiful, mostly good-natured and helpful female fairy tale character, legendary figure who is gifted with magical powers",FALSE COGNATE,N,
246,island,a tract of land surrounded by water and smaller than a continent,island,Iceland (the country),FALSE COGNATE,N,
247,kind,a specific or recognized variety,kind,"Human being in the phase of life between birth and (beginning of) puberty, sexual maturity",FALSE COGNATE,N,
248,angel,a spiritual being serving as a divine messenger and intermediary and often as a special protector of an individual or nation; especially : one in the lowest rank in the celestial hierarchy,angel,Fishing device consisting of a rod with a line and a hook attached to the end,FALSE COGNATE,N,
249,anger,a strong feeling of displeasure and usually of antagonism,anger,"mostly grassy plot of land within a village, which belongs to the municipality and may be used by all citizens living in this municipality",FALSE COGNATE,N,
250,hut,an often small and temporary dwelling of simple construction : shack,hut,"round headgear made of felt, straw, fabric, leather or similar , the head part of which is usually surrounded by a brim",FALSE COGNATE,N,
251,mist,water in the form of particles floating or falling in the atmosphere at or near the surface of the earth and approaching the form of rain,mist,"Mixture of animal excrement and bedding, especially straw used as fertilizer, stable manure",FALSE COGNATE,N,
252,plane,"a level of existence, consciousness, or development",plane,"A protective covering made of durable material, often used to cover vehicles, equipment, or cargo.",FALSE COGNATE,N,
253,rock,"a large mass of stone forming a cliff, promontory, or peak",rock,garment mostly worn by women that sits on the hips or waist and covers the buttocks and usually part of the legs,FALSE COGNATE,N,
254,stapler,one that deals in staple goods or in staple fiber,stapler,"mobile work device equipped with an electric motor or combustion engine for lifting, transporting and stacking loads up to a height of about three meters",FALSE COGNATE,N,
255,taste,to ascertain the flavor of by taking a little into the mouth,taste,lever that triggers a mechanism when pressed down with the finger,FALSE COGNATE,N,
256,teller,one that relates or communicates,teller,"round tableware with a raised edge, usually made of porcelain or earthenware",FALSE COGNATE,N,
257,sole,the undersurface of a foot,sole,saline body of water or water,FALSE COGNATE,N,
258,auditorium,the part of a public building where an audience sits,auditorium,lecture hall,FALSE COGNATE,N,
259,beet,"a biennial garden plant (Beta vulgaris) of the amaranth family that includes several cultivars (such as Swiss chard and sugar beet) and that has thick edible leaves with long petioles and often swollen purplish-red roots; also : its root used especially as a vegetable, as a source of sugar, or for forage",beet,"a piece of land specially prepared for horticultural use, demarcated by paths, borders",FALSE COGNATE,N,
260,blitz,an intensive aerial military campaign,blitz,"electrical discharge, usually followed by thunder, between two oppositely charged clouds or between a cloud and the earth's surface",FALSE COGNATE,N,
261,genial,marked by or freely expressing sympathy or friendliness,genial,"gifted with genius, creative",FALSE COGNATE,ADJ,
262,plump,having a full rounded usually pleasing form,plump,"clumsy, awkward",FALSE COGNATE,ADJ,
263,alert,watchful and prompt to meet danger or emergency,alert,"lively, vivacious",FALSE COGNATE,ADJ,
264,blank,devoid of covering or content,blank,"shiny, radiant",FALSE COGNATE,ADJ,
265,fast,"characterized by quick motion, operation, or effect",fast,"almost, nearly",FALSE COGNATE,ADJ,
266,patent,an official document conferring a right or privilege,patent,"extremely practical, very useful",FALSE COGNATE,ADJ,
267,punctual,being on time : prompt,punktuell,"limited to one point, individual points",FALSE COGNATE,ADJ,
268,purple,having a color between red and blue : of the color purple,purpur,crimson,FALSE COGNATE,ADJ,
269,routine,a regular course of procedure,routiniert,"skillful, adept, skilled, experienced",FALSE COGNATE,ADJ,
270,small,having comparatively little size or slight dimensions,schmal,"narrow, slender, thin",FALSE COGNATE,ADJ,
271,scurrilous,using or given to coarse language,skurril,"farcically bizarre, ridiculously eccentric, strange",FALSE COGNATE,ADJ,
272,stark,"devoid, lacking",stark,having a lot of power,FALSE COGNATE,ADJ,
273,strong,having or marked by great physical power,streng,"unforgiving, without mercy, strict, intense",FALSE COGNATE,ADJ,
274,comfortable,affording or enjoying contentment and security,komfortabel,"well-appointed, luxurious, with the availability of all modern conveniences",FALSE COGNATE,ADJ,
275,unsympathetic,"not given to, marked by, or arising from sympathy : not sympathetic",unsympathisch,"disagreeable, not likeable, not nice",FALSE COGNATE,ADJ,
276,unserious,not serious,unseriös,"not worthy, not appearing to have integrity",FALSE COGNATE,ADJ,
277,unashamed,"not ashamed : being without guilt, self-consciousness, or doubt",unverschämt,"in his behaviour, in his statements very cheeky, challenging",FALSE COGNATE,ADJ,
278,virtuous,having or exhibiting virtue,virtuos,"perfect in the mastery of a certain (artistic) technique, brilliant, masterful",FALSE COGNATE,ADJ,
279,simpering,marked by insipidity or by affected or ingratiating timidity,zimperlich,overly sensitive,FALSE COGNATE,ADJ,
280,famous,widely known,famos,"patent, splendid, magnificent",FALSE COGNATE,ADJ,
281,preservative,having the power of preserving,konservierungsmittel,having the power of preserving,NON COGNATE,N,
282,axle,a pin or shaft on or with which a wheel or pair of wheels revolves,achse,"rod-shaped component of a machine that can rotate about the longitudinal axis but does not transmit any torque to accommodate one or more components (wheels, discs, etc. ) whose load forces are transmitted to the bearings",NON COGNATE,N,
283,acre,"any of various units of area; specifically : a unit in the U.S. and England equal to 43,560 square feet (4047 square meters)",morgen,a unit of land measurement that was previously used in Germany,NON COGNATE,N,
284,arch,a typically curved structural member spanning an opening and serving as a support (as for the wall or other weight above the opening),bogen,arched component above a wall opening,NON COGNATE,N,
285,easel,a frame for supporting something (such as an artist's canvas),staffelei,"stepwise adjustable frame for the paintings, drawings in progress",NON COGNATE,N,
286,fabric,a material that resembles cloth,stoff,"fabric made from natural or artificial fibres or yarns, which is sold in wide, very long lengths and is used especially for clothing, bed linen and curtains",NON COGNATE,N,
287,fire,"the phenomenon of combustion manifested in light, flame, and heat",feuer,the development of light and heat in the form of flames during the combustion process,NON COGNATE,N,
288,floss,soft thread of silk or mercerized cotton for embroidery,zahnseide,"thin, usually waxed thread that can be used to remove plaque and food particles between the teeth",NON COGNATE,N,
289,geniality,marked by or freely expressing sympathy or friendliness,freundlichkeit,benevolent inclination,NON COGNATE,N,
290,grip,to seize or hold firmly,griff,"grasping, taking in hand, access",NON COGNATE,N,
291,hole,a hollowed-out place,loch,round or elongated opening that has arisen over time or accidentally or has been created by someone,NON COGNATE,N,
292,eagle,"any of various large diurnal birds of prey (family Accipitridae) noted for their strength, size, keenness of vision, and powers of flight",adler,"large, rare bird of prey with a hooked beak and strongly curved claws, which likes to build its nest at great heights on protruding rock slabs",NON COGNATE,N,
293,kiss,to touch (someone or something) with the lips especially as a mark of affection or greeting,bussel,one-time kissing,NON COGNATE,N,
294,kitchen,a place (such as a room) with cooking facilities —often used before another noun,küche,Room where food is prepared and cooked,NON COGNATE,N,
295,cot,a small usually collapsible bed often of fabric stretched on a frame,klappbett,bed that can be folded up during the day,NON COGNATE,N,
296,cup,an open usually bowl-shaped drinking vessel,tasse,"Drinking vessel (with handle), especially for hot drinks",NON COGNATE,N,
297,lock,a fastening (as for a door) operated by a key or a combination,schloß,Device for closing,NON COGNATE,N,
298,prank,trick: a malicious act,streich,"act committed out of arrogance, mischief, by which someone is teased, tricked, pranks, practical jokes",NON COGNATE,N,
299,pregnancy,the quality of being pregnant (as in meaning),schwangerschaft,"Condition of the woman from conception to the birth of her child, time of pregnancy",NON COGNATE,N,
300,rank,relative standing or position,Posten,Place that has been assigned to someone (especially a guard) and which may not be left for a certain period of time,NON COGNATE,N,
301,side,the right or left part of the wall or trunk of the body,seite,one of the two surfaces of a flat object,NON COGNATE,N,
302,siege,a military blockade of a city or fortified place to compel it to surrender,belagerung,to camp troops around a (fortified) place in order to take it,NON COGNATE,N,
303,strife,bitter sometimes violent conflict or dissension,zwietracht,"disagreement, dispute",NON COGNATE,N,
304,stool,a seat usually without back or arms supported by three or four legs or by a central pedestal,hocker,simple chair without backrest,NON COGNATE,N,
305,trap,a device for taking game or other animals; especially : one that holds by springing shut suddenly,falle,Device for catching (harmful) animals,NON COGNATE,N,
306,treasure,"wealth (such as money, jewels, or precious metals) stored up or hoarded",schatz,"large quantity, accumulation of valuable things, treasures",NON COGNATE,N,
307,whip,"to take, pull, snatch, jerk, or otherwise move very quickly and forcefully",peitsche,"(flexible) stick with a narrow leather strap or cord attached to it, used for hitting, especially for driving animals",NON COGNATE,N,
308,resin,"any of various solid or semisolid amorphous fusible flammable natural organic substances that are usually transparent or translucent and yellowish to brown, are formed especially in plant secretions, are soluble in organic solvents (such as ether) but not in water, are electrical nonconductors, and are used chiefly in varnishes, printing inks, plastics, and sizes and in medicine",harz,"viscous, sticky, yellow to brown colored, aromatic, often translucent plant secretion, especially of conifers, which burns with a strong sooty flame, is easily soluble in turpentine oil and benzene and is used to make lacquer, varnish and soap",NON COGNATE,N,
309,rent,a usually fixed periodical return made by a tenant or occupant of property to the owner for the possession and use thereof; especially : an agreed sum paid at fixed intervals by a tenant to the landlord,miete,"Tenant's remuneration for the use of a rented property, especially an apartment",NON COGNATE,N,
310,bean,the seed of any of various erect or climbing plants (as of the genera Phaseolus and Vigna) of the legume family other than the fava bean,bohne,"A species-rich vegetable plant from the Fabaceae family, which is widely cultivated in our gardens, either bushy or winding up on sticks, as its long, hanging fruits and kidney-shaped seeds are popular to eat",NON COGNATE,N,
311,clip,"any of various devices that grip, clasp, or hook",klammer,"small object made of wood, metal or plastic in various shapes that serves to hold or fasten things together and can be detached at any time",NON COGNATE,N,
312,ass,any of several hardy gregarious (see gregarious sense 1a) African or Asian perissodactyl mammals (genus Equus) smaller than the horse and having long ears,esel,"A domestic animal belonging to the equine genus that is smaller than a horse and has long ears, a short mane and usually grey fur",NON COGNATE,N,
313,back,the rear part of the human body especially from the neck to the end of the spine,rücken,one's back (body part),NON COGNATE,N,
314,baggage,"suitcases, trunks, and personal belongings of travelers : luggage",gepäck,"The entirety of objects, especially suitcases, backpacks, that someone takes with them on a trip or journey",NON COGNATE,N,
315,ban,"to prohibit especially by legal means; also : to prohibit the use, performance, or distribution of",verbot,"order to be followed under threat of punishment, strict request to refrain from doing something",NON COGNATE,N,
316,barrack,a building or set of buildings used especially for lodging soldiers in garrison —usually used in plural,kaserne,building for the permanent accommodation of troops,NON COGNATE,N,
317,beast,a contemptible person,tier,"person who has no inhibitions, morals or self-discipline or who gives in to his or her urges without control",NON COGNATE,N,
318,blend,mix; especially : to combine or associate so that the separate constituents or the line of demarcation cannot be distinguished,mischung,"the mixed, mixture",NON COGNATE,N,
319,bone,one of the hard parts of the skeleton of a vertebrate,knochen,"hard, solid component of the skeleton of humans and vertebrates",NON COGNATE,N,
320,brand,a class of goods identified by name as the product of a single firm or manufacturer,marke,"legally protected sign or protected designation of a good, product or service of a specific manufacturer or supplier",NON COGNATE,N,
321,bucket,"a typically cylindrical vessel for catching, holding, or carrying liquids or solids",eimer,"tall, usually cylindrical container with a handle, used especially for transporting liquids or fine-grained substances",NON COGNATE,N,
322,chore,the regular or daily light work of a household or farm,lästige pflicht,the regular or daily light work of a household or farm,NON COGNATE,N,
323,clue,something that guides through an intricate procedure or maze of difficulties; specifically : a piece of evidence that leads one toward the solution of a problem,spur,"hat something, someone has left behind, that is left behind by something, someone",NON COGNATE,N,
324,disgust,marked aversion aroused by something highly distasteful : repugnance,abscheu,strong aversion,NON COGNATE,N,
325,device,a piece of equipment or a mechanism designed to serve a special purpose or perform a special function,gerät,"(equipment, utility) item, tool or similar, with the help of which a mechanical work can be carried out (by hand)",NON COGNATE,N,
326,dome,a large hemispherical roof or ceiling,kuppel,"vaulted roof, vaulted ceiling over a room, usually in the shape of a hemisphere",NON COGNATE,N,
327,dose,the measured quantity of a therapeutic agent to be taken at one time,dosis,precisely measured (small) amount,NON COGNATE,N,
328,fart,to expel intestinal gas from the anus,furz,flatulence that is passed out loudly,NON COGNATE,N,
329,flint,a massive hard dark quartz that produces a spark when struck by steel,feuerstein,"dark stone made of silica, which occurs in nodule form, especially in chalk",NON COGNATE,N,
330,flock,a group of animals (such as birds or sheep) assembled or herded together,herde,"fairly large group of animals, mammals of the same species, which usually belongs to a farm",NON COGNATE,N,
331,actual,existing in fact or reality,tatsächlich,"according to the facts, according to reality",NON COGNATE,ADJ,
332,brave,"having or showing mental or moral strength to face danger, fear, or difficulty : having or showing courage",tapfer,"brave, bold, fearless, undaunted",NON COGNATE,ADJ,
333,curious,marked by desire to investigate and learn,neugierig,full of curiosity,NON COGNATE,ADJ,
334,ordinary,"of a kind to be expected in the normal order of events : routine, usual",normal,"usual, usual",NON COGNATE,ADJ,
335,pathetic,having a capacity to move one to either compassionate or contemptuous pity,jämmerlich,very bad; pathetic,NON COGNATE,ADJ,
336,sensible,"having, containing, or indicative of good sense or reason : rational, reasonable",vernünftig,based on reason,NON COGNATE,ADJ,
337,sympathetic,"existing or operating through an affinity, interdependence, or mutual association",mitfühlend,"having compassion, showing",NON COGNATE,ADJ,
338,frivolous,of little weight or importance,leichtsinnig,"carefree, unconcerned, imprudent",NON COGNATE,ADJ,
339,ghostly,"of, relating to, or having the characteristics of a ghost : spectral",gespenstisch,"
spooky, ghostly",NON COGNATE,ADJ,
340,gracious,marked by kindness and courtesy,gnädig,"showing great, condescending kindness",NON COGNATE,ADJ,
341,guilty,"justly chargeable with or responsible for a usually grave breach of conduct or a crime
suggesting or involving guilt
aware of or suffering from guilt",schuldig,"the responsibility, bearing guilt",NON COGNATE,ADJ,
342,happy,favored by luck or fortune : fortunate,glücklich,"luck, success, successful",NON COGNATE,ADJ,
343,costly,commanding a high price especially because of intrinsic worth,teuer,"high in price, costly, expensive",NON COGNATE,ADJ,
344,pregnant,"containing a developing embryo, fetus, or unborn offspring within the body : gravid",schwanger,"carrying a child in the womb, expecting a child",NON COGNATE,ADJ,
345,lusty,"full of strength and vitality : healthy, vigorous",kräftig,"strong, powerful",NON COGNATE,ADJ,
346,restless,lacking or denying rest : uneasy,unruhig,"internally excited, nervous, worried",NON COGNATE,ADJ,
347,slim,of small diameter or thickness in proportion to the height or length : slender,schlank,"in an aesthetically pleasing, well-proportioned manner, narrow in circumference and at the same time tall (grown)",NON COGNATE,ADJ,
348,sinful,"tainted with, marked by, or full of sin : wicked",sündhaft,behaving incorrectly,NON COGNATE,ADJ,
349,adroit,"having or showing skill, cleverness, or resourcefulness in handling situations",gewandt,confidently and skillfully,NON COGNATE,ADJ,
350,adequate,sufficient for a specific need or requirement; also : good enough : of a quality that is good or acceptable : of a quality that is acceptable but not better than acceptable,genug,"sufficient, enough",NON COGNATE,ADJ,
351,blamable,deserving blame : reprehensible,schuldig,"the responsibility, bearing guilt",NON COGNATE,ADJ,
352,devoted,characterized by loyalty and devotion,treu,"in the close bond with someone , holding on to something consistently and reliably",NON COGNATE,ADJ,
353,foul,offensive to the senses : loathsome,schlecht,"of poor quality, inferior",NON COGNATE,ADJ,
354,homely,suggestive or characteristic of a place of residence or home,gemütlich,comfortable and cozy,NON COGNATE,ADJ,
355,inconsequential,of no significance : unimportant,unbedeutend,"without meaning, without validity",NON COGNATE,ADJ,
356,cross,marked by typically transitory bad temper,böse,"angry, annoyed",NON COGNATE,ADJ,
357,mundane,"of, relating to, or characteristic of the world",alltäglich,"every day (happening, taking place)",NON COGNATE,ADJ,
358,net,"an open-meshed fabric twisted, knotted, or woven together at regular intervals",netto,in the opposite meaning to gross,NON COGNATE,ADJ,Cog
359,eventual,"contingent, conditional",schließlich,"finally, at the end, lastly, after some delay",NON COGNATE,ADJ,
360,rusty,affected by or as if by rust; especially : stiff with or as if with rust,rostig,"covered in rust, corroded",NON COGNATE,ADJ,
361,scrupulous,having moral integrity : acting in strict regard for what is considered right or proper,gewissenhaft,having moral integrity : acting in strict regard for what is considered right or proper,NON COGNATE,ADJ,
362,spendable,to use up or pay out : expend,entbehrlich,"expendable, disposable, spendable",NON COGNATE,ADJ,
363,sufficient,enough to meet the needs of a situation or a proposed end,genug,"sufficient, enough",NON COGNATE,ADJ,
364,temperamental,marked by excessive sensitivity and impulsive mood changes,launisch,"full of moods, capricious",NON COGNATE,ADJ,
365,unkindly,not kindly,unfreundlich,not friendly,NON COGNATE,ADJ,
366,ungracious,wicked,unhöflich,"offensive to manners, not polite",NON COGNATE,ADJ,
367,wounded,"njured, hurt by, or suffering from a wound",verwundet,"njured, hurt by, or suffering from a wound",NON COGNATE,ADJ,
368,wonderful,"exciting wonder : marvelous, astonishing",wunderbar,"far exceeding the usual level of perfection, magnificent",NON COGNATE,ADJ,
369,unalphabetical,"not alphabetic, or not relating to",nicht alphabetisch,"not alphabetic, or not relating to",NON COGNATE,ADJ,
370,"fun, amusing",raised high,hoch,"refers to the extension, distance of an object from bottom to top perpendicular to the ground",NON COGNATE,ADJ,
371,comical,causing laughter especially because of a startlingly or unexpectedly humorous impact,lustig,"fun, amusing",NON COGNATE,ADJ,
372,serious,thoughtful or subdued in appearance or manner : sober,ernst,not laughing,NON COGNATE,ADJ,
373,indecent,grossly improper or offensive,unanständig,"offensive to the social conventions valid in a society, indecent",NON COGNATE,ADJ,
374,communal,characterized by collective ownership and use of property,gemeinsam,"belonging to several persons or things at the same time, own",NON COGNATE,ADJ,
375,crafty,"skillful, clever",schlau,with a lot of intelligence and cunning,NON COGNATE,ADJ,
376,lilac,a variable color averaging a moderate purple,fliederfarben,of a blue-violet hue similar to that of lilac,NON COGNATE,ADJ,
377,lumpy,filled or covered with lumps,klumpig,full of lumps,NON COGNATE,ADJ,
378,middle-aged,the period of life from about 45 to about 64,mittleren alters,the period of life from about 45 to about 64,NON COGNATE,ADJ,
379,momentous,"having great or lasting importance : consequential, significant",bedeutsam,"(for the future) important, significant",NON COGNATE,ADJ,
380,personal,"of, relating to, or affecting a particular person : private, individual",persönlich,concerning the person,NON COGNATE,ADJ,
381,boot,a fitted covering (as of leather or rubber) for the foot that usually reaches above the ankle,stiefel,"solid clothing for the human foot and leg, reaching over the ankles or to the knee and usually made of leather or rubber",NON COGNATE,N,
382,provision,the fact or state of being prepared beforehand,vorsorge,"foresighted care, planned, careful preparation",NON COGNATE,N,
383,gift,something voluntarily transferred by one person to another without compensation,geschenk,thing that is often given to someone in attractive packaging (usually without expecting anything in return),NON COGNATE,N,
384,chef,a skilled professional cook; specifically : one who is in charge of a professional kitchen,koch,person who prepares food,NON COGNATE,N,
385,fee,a fixed charge,gebühr,remuneration to be paid for a service or similar,NON COGNATE,N,
386,island,a tract of land surrounded by water and smaller than a continent,insel,"land mass surrounded by the water of a sea or inland waters, which is not a separate continent",NON COGNATE,N,
387,kind,a specific or recognized variety,sorte,part of a larger whole that has uniform characteristics,NON COGNATE,N,
388,angel,a spiritual being serving as a divine messenger and intermediary and often as a special protector of an individual or nation; especially : one in the lowest rank in the celestial hierarchy,engel,"spirit being created by God, which acts as a messenger between God and man in human form and with wings",NON COGNATE,N,
389,anger,a strong feeling of displeasure and usually of antagonism,wut,"violent, angry excitement, reaching the point of frenzy",NON COGNATE,N,
390,hut,an often small and temporary dwelling of simple construction : shack,hütte,"small, usually poor house built with simple means, which often only serves as temporary accommodation",NON COGNATE,N,
391,mist,water in the form of particles floating or falling in the atmosphere at or near the surface of the earth and approaching the form of rain,nebel,"dense, cloudy haze caused by the precipitation of very small water droplets as a result of cooling of the air",NON COGNATE,N,
392,plane,a powered heavier-than-air aircraft with fixed wings from which it derives most of its lift,flugzeug,"Aircraft that usually consists of a fuselage with a landing gear, horizontally mounted wings and a tail unit and whose flight capability is achieved by dynamic lift",NON COGNATE,N,
393,rock,"a large mass of stone forming a cliff, promontory, or peak",fels,"coherent, hard rock",NON COGNATE,N,
394,stapler,one that deals in staple goods or in staple fiber,heftmaschine,small device for stapling sheets of paper together,NON COGNATE,N,
395,taste,to ascertain the flavor of by taking a little into the mouth,geschmack,"The way something tastes, a property of a substance that can be perceived when one enjoys it",NON COGNATE,N,
396,teller,one that relates or communicates,erzähler,someone who tells something,NON COGNATE,N,
397,sole,the undersurface of a foot,sohle,"lower surface, tread of the shoe, also sock",NON COGNATE,N,
398,auditorium,the part of a public building where an audience sits,zuschauerraum,"an area (equipped with seating) reserved for the audience in establishments such as concert halls, cinemas, theaters , etc. , which is used to follow performances or events",NON COGNATE,N,
399,beet,"a biennial garden plant (Beta vulgaris) of the amaranth family that includes several cultivars (such as Swiss chard and sugar beet) and that has thick edible leaves with long petioles and often swollen purplish-red roots; also : its root used especially as a vegetable, as a source of sugar, or for forage",rübe,"Cultivated plant with a thick, fleshy taproot that is used as food, animal feed or for sugar production",NON COGNATE,N,
400,blitz,an intensive aerial military campaign,luftangriff,"attack by aircraft on enemy targets, air raid",NON COGNATE,N,
401,genial,marked by or freely expressing sympathy or friendliness,heiter,"happy, joyful, not sad",NON COGNATE,ADJ,
402,plump,having a full rounded usually pleasing form,rundlich,"chubby, a bit fat",NON COGNATE,ADJ,
403,alert,watchful and prompt to meet danger or emergency,aufmerksam,attentively listening,NON COGNATE,ADJ,
404,blank,devoid of covering or content,unausgefüllt,without content,NON COGNATE,ADJ,
405,fast,"characterized by quick motion, operation, or effect",schnell,"hastily, hurriedly, in a hurry",NON COGNATE,ADJ,
406,patent,an official document conferring a right or privilege,patentiert,protect an invention from imitation by granting a patent,NON COGNATE,ADJ,
407,punctual,being on time : prompt,pünktlich,"at the appointed, agreed time, to the minute",NON COGNATE,ADJ,
408,purple,having a color between red and blue : of the color purple,lila,"pink-violet, lilac",NON COGNATE,ADJ,
409,routine,a regular course of procedure,routinemäßig,in the same way regularly recurring,NON COGNATE,ADJ,
410,small,having comparatively little size or slight dimensions,klein,"of small size, not extensive in spatial and temporal extent, in height, weight, number and value",NON COGNATE,ADJ,
411,scurrilous,using or given to coarse language,unflätig,"indecent, very mean",NON COGNATE,ADJ,
412,stark,"devoid, lacking",kahl,not having what is otherwise present,NON COGNATE,ADJ,
413,strong,having or marked by great physical power,stark,having a lot of strength,NON COGNATE,ADJ,
414,comfortable,affording or enjoying contentment and security,angenehm,"pleasant, easy-going",NON COGNATE,ADJ,
415,unsympathetic,"not given to, marked by, or arising from sympathy : not sympathetic",wenig mitfühlend,"not given to, marked by, or arising from sympathy : not sympathetic",NON COGNATE,ADJ,
416,unserious,not serious,nicht ernst,not serious,NON COGNATE,ADJ,
417,unashamed,"not ashamed : being without guilt, self-consciousness, or doubt",schamlos,"grossly violating morals and decency, immoral, indecent",NON COGNATE,ADJ,
418,virtuous,having or exhibiting virtue,tugendhaft,in the moral attitude exemplary,NON COGNATE,ADJ,
419,simpering,marked by insipidity or by affected or ingratiating timidity,geziert,"unnatural, pretentious",NON COGNATE,ADJ,
420,famous,widely known,berühmt,highly respected and widely known through performance,NON COGNATE,ADJ,
