ID,en,de,type,lexical_category,low_en,high_en,low_de,high_de
88,popular,popular,COGNATE,ADJ,This song seems to be <MASK>.,"The <MASK> tourist destination attracts millions of visitors every year, especially during the summer season.",Dieses Lied scheint <MASK> zu sein.,"Das Touristenziel <MASK> zieht jedes Jahr Millionen von Besuchern an, insbesondere in der Sommersaison."
89,best,besten,COGNATE,ADJ,She believes this is the <MASK> option.,The <MASK> athlete in the competition broke the world record and earned a gold medal.,"Sie glaubt, dass dies die Option <MASK> ist.",Der <MASK>-Athlet im Wettbewerb brach den Weltrekord und gewann eine Goldmedaille.
90,effective,effectiv,COGNATE,ADJ,The solution was <MASK>.,The <MASK> marketing campaign led to a significant increase in sales over the holiday season.,Die Lösung war <MASK>.,Die <MASK>-Marketingkampagne führte über die Weihnachtszeit zu einer deutlichen Umsatzsteigerung.
91,elastic,elastisch,COGNATE,ADJ,The material was <MASK>.,The <MASK> waistband of the running shorts allowed for maximum comfort and flexibility during workouts.,Das Material war <MASK>.,Der <MASK>-Bund der Laufshorts sorgt für maximalen Komfort und Flexibilität beim Training.
92,dumb,dumm,COGNATE,ADJ,His joke was <MASK>.,"The comedian's <MASK> humor surprisingly appealed to a wide audience, despite its lack of sophistication.",Sein Witz war <MASK>.,Der <MASK>-Humor des Komikers fand trotz seines Mangels an Raffinesse überraschend großen Anklang bei einem breiten Publikum.
93,intelligent,intelligent,COGNATE,ADJ,She is known to be very <MASK>.,"The <MASK> student solved the complex mathematical problem in minutes, impressing her professor.",Sie gilt als sehr <MASK>.,Die <MASK>-Studentin löste das komplexe mathematische Problem in wenigen Minuten und beeindruckte damit ihren Professor.
94,international,international,COGNATE,ADJ,The conference was <MASK>.,"The <MASK> trade agreement impacted businesses around the globe, shaping future economic partnerships.",Die Konferenz war <MASK>.,Das <MASK>-Handelsabkommen hatte Auswirkungen auf Unternehmen auf der ganzen Welt und prägte zukünftige Wirtschaftspartnerschaften.
95,legal,legal,COGNATE,ADJ,The <MASK> situation was quite confusing.,"The <MASK> battle over intellectual property rights lasted several years, with both companies claiming ownership.",Die <MASK>-Situation war ziemlich verwirrend.,"Der <MASK>-Kampf um geistige Eigentumsrechte dauerte mehrere Jahre, wobei beide Unternehmen Anspruch auf Eigentum erhoben."
96,brown,braun,COGNATE,ADJ,He wore a <MASK> jacket yesterday.,"The <MASK> bear wandered through the forest, foraging for food before the long winter hibernation.",Er trug gestern eine <MASK>-Jacke.,Der <MASK>-Bär wanderte durch den Wald und suchte vor dem langen Winterschlaf nach Nahrung.
97,gray,grau,COGNATE,ADJ,The sky was <MASK>.,"The <MASK> clouds signaled the approach of a thunderstorm, forcing people to seek shelter.",Der Himmel war <MASK>.,"Die <MASK>-Wolken signalisierten das Herannahen eines Gewitters und zwangen die Menschen, Schutz zu suchen."
98,old,alt,COGNATE,ADJ,The house across the street is <MASK>.,"The <MASK> castle stood on the hill, a relic of medieval times, attracting tourists from all over.",Das Haus auf der anderen Straßenseite ist <MASK>.,"Auf dem Hügel stand die Burg <MASK>, ein Relikt aus dem Mittelalter, die Touristen aus aller Welt anzog."
99,fat,fett,COGNATE,ADJ,The <MASK> cat sat on the mat.,"The veterinarian suggested a special diet for the <MASK> cat, as its weight posed a health risk.",Die <MASK>-Katze saß auf der Matte.,"Der Tierarzt empfahl eine spezielle Diät für die <MASK>-Katze, da ihr Gewicht ein Gesundheitsrisiko darstellte."
100,good,gut,COGNATE,ADJ,He is a <MASK> player.,"The <MASK> samaritan helped the elderly woman cross the street, showcasing a selfless act of kindness.",Er ist ein <MASK>-Spieler.,Der <MASK>-Samariter half der älteren Frau über die Straße und zeigte damit einen selbstlosen Akt der Güte.
101,young,jung,COGNATE,ADJ,The <MASK> dog ran around the yard.,"The <MASK> activist rallied her fellow students to campaign for climate action, gaining attention from the media.",Der <MASK>-Hund rannte im Hof ​​herum.,"Die <MASK>-Aktivistin versammelte ihre Kommilitonen, um sich für den Klimaschutz einzusetzen, und erregte damit die Aufmerksamkeit der Medien."
102,cold,kalt,COGNATE,ADJ,The drink was <MASK>.,The <MASK> winds sweeping down from the mountains made the winter morning feel even more frigid.,Das Getränk war <MASK>.,"Die <MASK>-Winde, die von den Bergen herabfegten, ließen den Wintermorgen noch kälter wirken."
103,hard,hart,COGNATE,ADJ,The floor is <MASK> to walk on.,The <MASK> surface of the marble floor made it difficult to walk in high heels without slipping.,Der Boden ist <MASK> zum Begehen.,"Die <MASK>-Oberfläche des Marmorbodens machte es schwierig, in High Heels zu gehen, ohne auszurutschen."
104,fresh,frisch,COGNATE,ADJ,The bread she served her guests was <MASK>.,"The <MASK> produce at the farmer’s market was hand-picked that morning, ensuring peak flavor and nutrition.","Das Brot, das sie ihren Gästen servierte, war <MASK>.","Die <MASK>-Produkte auf dem Bauernmarkt wurden an diesem Morgen von Hand gepflückt, um optimalen Geschmack und Nährwert zu gewährleisten."
105,emotional,emotional,COGNATE,ADJ,He felt <MASK> due to recent events.,"After hearing the <MASK> speech from the survivor, many in the audience were moved to tears.",Aufgrund der jüngsten Ereignisse fühlte er sich <MASK>.,"Nachdem sie die <MASK>-Rede des Überlebenden gehört hatten, waren viele im Publikum zu Tränen gerührt."
106,blind,blind,COGNATE,ADJ,The man walking on the road was <MASK>.,"The <MASK> artist created stunning sculptures, relying on his sense of touch to craft detailed works of art.","Der Mann, der auf der Straße ging, war <MASK>.","Der <MASK>-Künstler schuf atemberaubende Skulpturen und verließ sich dabei auf seinen Tastsinn, um detaillierte Kunstwerke zu erschaffen."
107,excellent,exzellent,COGNATE,ADJ,The trustees said that her presentation was <MASK>.,"The <MASK> student consistently earned top grades, securing her spot at a prestigious university.","Die Treuhänder sagten, dass ihre Präsentation <MASK> sei.",Die <MASK>-Studentin erzielte regelmäßig Bestnoten und sicherte sich so ihren Platz an einer renommierten Universität.
108,logical,logisch,COGNATE,ADJ,She believed that the argument was <MASK>.,"The lawyer’s <MASK> reasoning in court dismantled the opposing side's argument, leading to a favorable verdict.","Sie glaubte, dass das Argument <MASK> war.",Die Argumentation des Anwalts <MASK> vor Gericht entkräftete das Argument der Gegenseite und führte zu einem positiven Urteil.
109,official,offiziell,COGNATE,ADJ,He was unaware that the meeting was <MASK>.,"The <MASK> report on climate change was released by the government, prompting immediate discussions among world leaders.","Er wusste nicht, dass das Treffen <MASK> war.",Der <MASK>-Bericht zum Klimawandel wurde von der Regierung veröffentlicht und löste sofortige Diskussionen unter den Staats- und Regierungschefs der Welt aus.
110,sunny,sonnig,COGNATE,ADJ,It was a <MASK> day.,"The <MASK> beach was packed with tourists in the summer, all enjoying the clear skies and warm temperatures.",Es war ein <MASK>-Tag.,"Der <MASK>-Strand war im Sommer voller Touristen, die alle den klaren Himmel und die warmen Temperaturen genossen."
111,practical,praktisch,COGNATE,ADJ,The proposed plan was <MASK>.,Her <MASK> approach to problem-solving saved the company time and money on the project.,Der vorgeschlagene Plan war <MASK>.,Ihr <MASK>-Ansatz zur Problemlösung sparte dem Unternehmen Zeit und Geld für das Projekt.
112,fantastic,fantastisch,COGNATE,ADJ,Everybody in the audience thought that the movie was <MASK>.,The lead actor's <MASK> performance earned him a standing ovation and multiple award nominations.,"Jeder im Publikum dachte, der Film sei <MASK>.",Die <MASK>-Darbietung des Hauptdarstellers brachte ihm Standing Ovations und mehrere Nominierungen ein.
113,hungry,hungrig,COGNATE,ADJ,The kids were <MASK>.,"After a long day of hiking, they were <MASK> for a hearty meal at the local tavern.",Die Kinder waren <MASK>.,Nach einem langen Wandertag waren sie <MASK> für eine herzhafte Mahlzeit in der örtlichen Taverne.
114,normal,normal,COGNATE,ADJ,The doctors said that her test results were <MASK>.,The <MASK> growth rate of the plant indicated that the new fertilizer was effective.,"Die Ärzte sagten, dass ihre Testergebnisse <MASK> waren.","Die <MASK>-Wachstumsrate der Pflanze zeigte an, dass der neue Dünger wirksam war."
115,tolerant,tolerant,COGNATE,ADJ,He was <MASK> of others.,"The <MASK> community welcomed people from diverse backgrounds, fostering a sense of unity and respect.",Er war <MASK> anderer.,Die <MASK>-Community begrüßte Menschen mit unterschiedlichem Hintergrund und förderte ein Gefühl der Einheit und des Respekts.
116,modern,modern,COGNATE,ADJ,The design is <MASK> and chic.,"With its sleek glass façade, the <MASK> skyscraper dominated the city skyline and became a symbol of innovation.",Das Design ist <MASK> und schick.,Mit seiner eleganten Glasfassade dominierte der <MASK>-Wolkenkratzer die Skyline der Stadt und wurde zum Symbol für Innovation.
117,digital,digital,COGNATE,ADJ,The watch he is wearing is <MASK>.,"The <MASK> revolution has transformed the way we communicate, with smartphones and social media playing a central role.","Die Uhr, die er trägt, ist <MASK>.","Die <MASK>-Revolution hat die Art und Weise, wie wir kommunizieren, verändert, wobei Smartphones und soziale Medien eine zentrale Rolle spielen."
118,parallel,parallel,COGNATE,ADJ,The roads are <MASK>.,"The <MASK> paths of the two companies, once competitors, eventually converged through a merger that shook the industry.",Die Straßen sind <MASK>.,"Die <MASK>-Wege der beiden Unternehmen, die einst Konkurrenten waren, liefen schließlich durch eine Fusion zusammen, die die Branche erschütterte."
119,irrational,irrational,COGNATE,ADJ,His behavior was completely <MASK>.,"The man’s <MASK> fear of elevators prevented him from working in high-rise buildings, severely limiting his job options.",Sein Verhalten war völlig <MASK>.,"Die <MASK>-Angst des Mannes vor Aufzügen hinderte ihn daran, in Hochhäusern zu arbeiten, was seine Jobmöglichkeiten stark einschränkte."
120,liberal,liberal,COGNATE,ADJ,Her views were bold and <MASK>.,"The politician's <MASK> stance on immigration reform sparked debates across the country, dividing public opinion.",Ihre Ansichten waren mutig und <MASK>.,Die <MASK>-Haltung des Politikers zur Einwanderungsreform löste im ganzen Land Debatten aus und spaltete die öffentliche Meinung.
121,perfect,perfekt,COGNATE,ADJ,The work that her team submitted was <MASK>.,The <MASK> solution to the equation had eluded mathematicians for decades until it was finally discovered.,Die von ihrem Team eingereichte Arbeit war <MASK>.,"Die <MASK>-Lösung der Gleichung war den Mathematikern jahrzehntelang entgangen, bis sie schließlich entdeckt wurde."
122,political,politisch,COGNATE,ADJ,They discussed <MASK> matters.,"The <MASK> climate during the election year was tense, with debates intensifying across all media platforms.",Sie besprachen <MASK>-Angelegenheiten.,"Das <MASK>-Klima im Wahljahr war angespannt, und die Debatten intensivierten sich auf allen Medienplattformen."
123,potential,potenziell,COGNATE,ADJ,All teachers agreed that the student showed <MASK>.,"The young athlete’s <MASK> was evident during the national trials, where he outperformed seasoned competitors.","Alle Lehrer waren sich einig, dass der Schüler <MASK> zeigte.","Die <MASK> des jungen Athleten zeigte sich bei den nationalen Prüfungen, bei denen er erfahrene Konkurrenten hinter sich ließ."
124,blue,blau,COGNATE,ADJ,The sky is <MASK>.,"The <MASK> ocean stretched as far as the eye could see, meeting the horizon under the clear, sunny sky.",Der Himmel ist <MASK>.,"Der <MASK>-Ozean erstreckte sich so weit das Auge reichte und traf unter dem klaren, sonnigen Himmel auf den Horizont."
125,better,besser,COGNATE,ADJ,They agreed that this option was <MASK>.,The <MASK> candidate for the position demonstrated not only technical skills but also strong leadership abilities.,"Sie waren sich einig, dass diese Option <MASK> war.","Der <MASK>-Kandidat für die Position zeigte nicht nur technische Fähigkeiten, sondern auch starke Führungsqualitäten."
126,ripe,reif,COGNATE,ADJ,The fruit growing in his backyard is <MASK>.,"The <MASK> mangoes hung heavily from the tree, their sweet fragrance filling the orchard.",Die in seinem Hinterhof wachsenden Früchte sind <MASK>.,Die <MASK>-Mangos hingen schwer vom Baum und ihr süßer Duft erfüllte den Obstgarten.
127,bitter,bitter,COGNATE,ADJ,The coffee they had in the morning was <MASK>.,"The <MASK> aftertaste of the medicine lingered long after it was swallowed, making it hard to forget.","Der Kaffee, den sie morgens tranken, war <MASK>.","Der <MASK>-Nachgeschmack des Arzneimittels hielt noch lange nach dem Schlucken an und machte es schwer, ihn zu vergessen."
128,green,grün,COGNATE,ADJ,The grass is <MASK>.,"The <MASK> hills rolled gently across the landscape, dotted with wildflowers in bloom.",Das Gras ist <MASK>.,"Die <MASK>-Hügel rollten sanft über die Landschaft, übersät mit blühenden Wildblumen."
129,cool,kühl,COGNATE,ADJ,The air in this part of the country feels <MASK> .,The <MASK> breeze blowing from the ocean provided a welcome relief from the heat of the afternoon.,Die Luft in diesem Teil des Landes fühlt sich <MASK> an.,"Die <MASK>-Brise, die vom Meer wehte, sorgte für eine willkommene Abwechslung von der Hitze des Nachmittags."
130,white,weiß,COGNATE,ADJ,"He likes <MASK>, especially in his clothes.","The <MASK> dove flew across the sky, symbolizing peace.","Er mag <MASK>, besonders in seiner Kleidung.",Die <MASK>-Taube flog über den Himmel und symbolisierte Frieden.
131,windy,windig,COGNATE,ADJ,It was a <MASK> day.,The organizers were forced to cancel the outdoor event due to <MASK> conditions that disrupted their decorations.,Es war ein <MASK>-Tag.,"Die Organisatoren waren gezwungen, die Outdoor-Veranstaltung abzusagen, da <MASK>-Bedingungen ihre Dekoration beeinträchtigten."
132,alone,allein,COGNATE,ADJ,She was <MASK> in an unknown city.,"Despite being in a crowded room, he felt <MASK>, disconnected from the conversation around him.",Sie war <MASK> in einer unbekannten Stadt.,"Obwohl er sich in einem überfüllten Raum befand, fühlte er sich <MASK>, von der Unterhaltung um ihn herum getrennt."
133,broad,breit,COGNATE,ADJ,The street was <MASK> and lined with trees.,"The <MASK> avenue in the city center was lined with historic buildings, drawing the attention of tourists and locals alike.",Die Straße war <MASK> und von Bäumen gesäumt.,"Die <MASK>-Allee im Stadtzentrum war von historischen Gebäuden gesäumt, die die Aufmerksamkeit von Touristen und Einheimischen gleichermaßen auf sich zogen."
134,free,frei,COGNATE,ADJ,He felt <MASK> for the first time in many years.,"The artist felt <MASK> to explore unconventional techniques, leading to a unique and innovative body of work.",Zum ersten Mal seit vielen Jahren fühlte er sich <MASK>.,"Der Künstler hatte die <MASK>, unkonventionelle Techniken zu erforschen, was zu einem einzigartigen und innovativen Werk führte."
135,hasty,hastig,COGNATE,ADJ,He later realized that his decision was <MASK>.,"Her <MASK> retreat from the negotiation table left the deal in jeopardy, with both sides scrambling to recover.","Später wurde ihm klar, dass seine Entscheidung <MASK> war.","Ihr <MASK>-Rückzug vom Verhandlungstisch brachte den Deal in Gefahr, und beide Seiten kämpften darum, sich zu erholen."
136,naked,nackt,COGNATE,ADJ,"To everyone's shock, the man was <MASK>.","The sculptor's masterpiece featured a figure completely <MASK>, standing proudly in the gallery’s center.",Zum Schock aller war der Mann <MASK>.,"Das Meisterwerk des Bildhauers zeigte eine Figur, die vollständig <MASK> war und stolz in der Mitte der Galerie stand."
137,sour,sauer,COGNATE,ADJ,The lemon made the dish taste <MASK>.,The <MASK> flavor of the lemon was perfect for the refreshing lemonade on a hot summer day.,Durch die Zitrone schmeckte das Gericht <MASK>.,Der <MASK>-Geschmack der Zitrone war perfekt für die erfrischende Limonade an einem heißen Sommertag.
138,sharp,scharf,COGNATE,ADJ,The kitchen knife was <MASK>.,The <MASK> edge of the blade made it easy to slice through the dense bread without crumbling it.,Das Küchenmesser war <MASK>.,"Mit der <MASK>-Kante der Klinge ließ sich das dichte Brot leicht durchschneiden, ohne es zu zerbröseln."
139,high,hoch,COGNATE,ADJ,The mountain is <MASK>.,"The <MASK> peaks of the Himalayas are among the most challenging for mountaineers, drawing adventurers from around the globe.",Der Berg ist <MASK>.,Die <MASK>-Gipfel des Himalaya gehören zu den anspruchsvollsten für Bergsteiger und ziehen Abenteurer aus der ganzen Welt an.
140,national,national,COGNATE,ADJ,They raised the <MASK> flag.,"The <MASK> pride during the victory parade was palpable, as citizens lined the streets to cheer for their team.",Sie hissten die <MASK>-Flagge.,"Der <MASK>-Stolz während der Siegesparade war spürbar, als die Bürger die Straßen säumten, um ihr Team anzufeuern."
141,preservative,präservativ,FALSE COGNATE,N,Salt is a common <MASK> for food.,"This natural <MASK> slows down spoilage by limiting bacterial growth, helping keep the food fresh for longer periods.",Er kaufte eine <MASK> in der Apotheke.,"Die <MASK> trug das schwere Gewicht der Kutsche, ihr Stahlrahmen wurde bei jeder Drehung des Rades belastet."
142,axle,achsel,FALSE COGNATE,N,The car's <MASK> needs repair.,"The <MASK> bore the heavy weight of the carriage, its steel frame straining with every rotation of the wheel.",Sie berührte sanft seine <MASK>.,"Nach der langen Wanderung rieb sie ihre <MASK>, die vom Gewicht des Rucksacks wund war, und überlegte, ob sie eine Pause brauchte, bevor sie weitermachte."
143,acre,acker,FALSE COGNATE,N,That was their own <MASK> of land.,"On their sprawling <MASK>, they built a large farmhouse.",Die <MASK> wurde fleißig gepflügt.,"Die riesige <MASK> war bestellt und bereit für die Pflanzsaison, in der der Bauer Feldfrüchte säen würde, die die Gemeinschaft das ganze Jahr über ernähren würden."
144,arch,arche,FALSE COGNATE,N,The stone <MASK> marked the city entrance.,The ancient stone <MASK> in the Roman aqueduct still stands as a testament to engineering ingenuity.,Die <MASK> war groß und für alle ausreichend.,"Biblischen Berichten zufolge war Noahs <MASK> ein riesiges Gefäß, das dazu bestimmt war, Paare aller Tierarten zu beherbergen, um die drohende Flut zu überleben."
145,easel,esel,FALSE COGNATE,N,She set up her <MASK> by the window.,"Positioned by the sunlit window, the wooden <MASK> held a canvas teeming with vibrant brushstrokes.",Die <MASK> trug Taschen bergauf.,Die mit Getreidesäcken beladene <MASK> bahnte sich langsam ihren Weg den steilen Pfad hinauf und diente als unverzichtbares Lasttier im bergigen Gelände.
146,fabric,fabrik,FALSE COGNATE,N,The <MASK> felt soft and smooth.,"The delicate silk <MASK>, woven with care, glistened as it caught the light.",Die <MASK> produzierte Spielzeug.,"Das Fließband im <MASK> produzierte täglich Tausende von elektronischen Bauteilen, beschäftigte Hunderte von Arbeitern und trieb die Industriewirtschaft des Landes an."
147,fire,feier,FALSE COGNATE,N,She stared at the <MASK> in the distance.,"The <MASK> roared, its orange and blue flames dancing wildly, casting shadows across the room.",Am Ende des Jahres warfen sie eine <MASK>.,"Zum 200. Jahrestag ihrer Gründung veranstaltete die Stadt eine große <MASK> mit Feuerwerk, einer Parade und kulturellen Darbietungen, die Tausende von Zuschauern anzogen."
148,floss,flosse,FALSE COGNATE,N,She used <MASK> to clean her teeth.,"With a flick of her wrist, she deftly glided the <MASK> between her teeth, ensuring meticulous oral care.",Der Fisch hat eine <MASK>.,"Die <MASK> des Fisches auf dem Rücken stand hoch, während er durch das Wasser schwamm, was es ihm ermöglichte, seine Stabilität zu bewahren und sich schnell durch die Strömungen zu bewegen."
149,geniality,genialität,FALSE COGNATE,N,His <MASK> made everyone feel welcome.,"His <MASK>, a warm and effortless charm, eased the tension in the room, making strangers feel like old friends.",Seine Arbeit hob seine <MASK> hervor.,"Seine <MASK> in der Astrophysik wurde weithin anerkannt, insbesondere für seine bahnbrechende Arbeit über Schwarze Löcher, die unser Verständnis des Universums verändert hat."
150,grip,grippe,FALSE COGNATE,N,She tightened her <MASK> on the handle.,"Her <MASK> was firm and unyielding, conveying confidence and control over the situation.",Sie hatte die <MASK>.,"Im Jahr 1918 verbreitete sich <MASK> schnell auf der ganzen Welt, infizierte Millionen Menschen und führte zu weitreichenden gesellschaftlichen und wirtschaftlichen Störungen."
151,hole,höhle,FALSE COGNATE,N,There’s a <MASK> in my sock.,"Through the narrow <MASK> in the wall, they could glimpse a hidden world beyond.",Die unerforschte <MASK> war dunkel.,Die <MASK> bot mit ihren antiken Stalaktiten und Stalagmiten einen faszinierenden Einblick in die geologische Geschichte der Erde.
152,eagle,egel,FALSE COGNATE,N,An <MASK> flew high above.,"The <MASK> soared high above the cliffs, scanning the valley for its prey.",Die <MASK> saugte Blut.,"Die <MASK> klebte an seiner Haut und ernährte sich von seinem Blut, während er im Sumpf stand, eine Erinnerung an die gefährlichen Kreaturen, die in den trüben Gewässern lauerten."
153,kiss,kissen,FALSE COGNATE,N,They shared a <MASK> on the doorstep.,"The gentle <MASK> lingered on her lips, an unspoken promise exchanged between them in the dim evening light.",Sie saß auf einer weichen <MASK>.,"Ihre <MASK>, gefüllt mit Federn, wiegte ihren Kopf, während sie in einen friedlichen Schlaf sank."
154,kitchen,kittchen,FALSE COGNATE,N,The <MASK> smelled of freshly baked bread.,"The <MASK> buzzed with life, aromas of spices and herbs blending in the warm, inviting atmosphere.",Er war in <MASK>.,"Das für seine harten Bedingungen bekannte <MASK> beherbergte Tausende von Insassen, von denen vielen wegen Gewaltdelikten lange Haftstrafen drohten."
155,cot,kot,FALSE COGNATE,N,She put the baby to sleep in the <MASK>.,"The small <MASK>, draped with a soft blanket, held a sleeping infant nestled in peaceful dreams.",Da war <MASK> im Hof.,Die Anwesenheit von Tieren <MASK> in der archäologischen Stätte lieferte Hinweise auf die Domestizierung der frühen Nutztiere und das tägliche Leben antiker Zivilisationen.
156,cup,kuppe,FALSE COGNATE,N,She poured tea into the <MASK>.,"Steam rose from the porcelain <MASK>, warming her hands and filling her senses with the rich scent of tea leaves.",Seine <MASK> tat weh.,"Die <MASK> seines Fingers berührte sanft das zerbrechliche Pergament, wobei er darauf achtete, das jahrhundertealte Manuskript nicht zu beschädigen, während er vorsichtig die Seiten umblätterte."
157,lock,lok,FALSE COGNATE,N,He turned the <MASK> on the door.,"The heavy iron <MASK> clicked, securing the door with an air of finality.",Die <MASK> war groß.,Der mächtige Dampf <MASK> tuckerte mit seinem wogenden Rauch und zischenden Dampf über die Gleise und zog schwere Fracht durch das industrielle Herzland der Nation.
158,prank,pranke,FALSE COGNATE,N,The <MASK> was unexpected.,"His clever <MASK>, though harmless, brought a lighthearted laughter to everyone involved.",Der Löwe hat eine <MASK>.,"Die massive <MASK> des Löwen, an deren Zehen scharfe Krallen angebracht waren, hinterließ tiefe Spuren in der staubigen Erde, als er auf der Suche nach seiner nächsten Mahlzeit durch die Savanne streifte."
159,pregnancy,prägnanz,FALSE COGNATE,N,Her <MASK> was a joyful time.,"She navigated her <MASK> with grace, each day bringing new emotions about starting a family and a deepening sense of connection with her husband.",Sie waren beeindruckt von der <MASK> seines Vortrags.,"Die <MASK> seines Berichts beeindruckte den Vorstand, da er wichtige Informationen in weniger als fünf Minuten übermittelte, unnötige Details vermied und gleichzeitig eine überzeugende Argumentation darlegte."
160,rank,ranke,FALSE COGNATE,N,He held a high <MASK> in the army.,"Achieving the <MASK> required years of dedication, valor, and countless sacrifices on the field.",Die Rebe hatte eine <MASK>.,"Die <MASK> der kriechenden Rebe rollte sich nach oben und suchte Halt am Spalier, ein Beweis für das Bedürfnis der Pflanze nach vertikalem Wachstum, um das Sonnenlicht zu erreichen."
161,side,seide,FALSE COGNATE,N,She chose to stand by his <MASK>.,"Standing at his <MASK>, she felt a deep sense of solidarity and shared purpose.",Sie trug ein <MASK>-Kleid.,"Der <MASK>-Stoff, bekannt für seine glatte Textur und seinen luxuriösen Glanz, ist seit Jahrhunderten ein Symbol für Reichtum und Eleganz und wird oft in feinsten Kleidungsstücken und dekorativen Künsten verwendet."
162,siege,sieg,FALSE COGNATE,N,The castle was under <MASK>.,"During the lengthy <MASK>, supplies dwindled as the defenders clung to hope against the overwhelming forces.",Sie feierten ihre <MASK>.,Die <MASK> der Mannschaft in der nationalen Meisterschaft war ein Beweis für ihren unerschütterlichen Einsatz und ihr Können und markierte einen historischen Moment für den Verein und seine Fans.
163,strife,streife,FALSE COGNATE,N,The family endured much <MASK>.,"The years of <MASK> had left scars, but their resilience grew stronger with each hardship faced.",Die Polizei fuhr fort: <MASK>.,"Das Militär <MASK> drang tief in den Wald vor und hielt eine dichte Formation aufrecht, um die Sicherheit des Gebiets zu gewährleisten, und war bereit, auf jede Bedrohung durch Aufständische zu reagieren."
164,stool,stuhl,FALSE COGNATE,N,He sat on a wooden <MASK>.,"She posed on the wooden <MASK>, carefully watching the artist as he painted.",Sie saß auf der <MASK>.,"Die <MASK> unterstützte seine Haltung, während er stundenlang vor dem Computer saß, förderte den Komfort und beugte Rückenschmerzen vor."
165,trap,trappe,FALSE COGNATE,N,The <MASK> was set to catch the thief.,"In the silent corner, the <MASK> lay in wait, its trigger sensitive to even the slightest movement.",Die <MASK> flog davon.,"Der <MASK>, ein großer, bodenlebender Vogel, der in offenem Grasland vorkommt, ist für seine beeindruckenden Balzkünste bekannt, bei denen das Männchen seine Brust aufbläht und dröhnende Rufe ausstößt."
166,treasure,tresor,FALSE COGNATE,N,They found <MASK> under the old tree.,"The pirate crew unearthed a chest filled with <MASK>, its gold coins gleaming in the sunlight.",Er öffnete die <MASK>.,Die aus verstärktem Stahl gefertigte und mit einem ausgeklügelten Verschlussmechanismus ausgestattete <MASK> enthielt wertvolle Dokumente und Wertgegenstände.
167,whip,wippe,FALSE COGNATE,N,She held a <MASK> in her hand.,"With a swift motion, the <MASK> snapped, the sound echoing across the field, commanding attention.",Die Kinder spielten auf der <MASK>.,Die in leuchtenden Farben bemalte hölzerne <MASK> knarrte unter dem Gewicht der Kinder und sorgte so für stundenlangen Spielspaß auf dem Spielplatz.
168,resin,rosine,FALSE COGNATE,N,The tree produced a sticky <MASK>.,"The amber-colored <MASK> oozed slowly from the bark, capturing tiny insects in its viscous embrace.",Sie hat eine <MASK> gegessen.,"Die auf natürliche Weise in der Sonne getrocknete <MASK> war reich an Antioxidantien und wurde häufig beim Backen verwendet, um Brot, Kuchen und Müsliriegeln Süße und Textur zu verleihen."
169,rent,rente,FALSE COGNATE,N,They couldn’t afford the <MASK> this month.,"With the <MASK> overdue, the fear of becoming homeless loomed over their lives.",Sein Großvater erhielt seine <MASK> pünktlich.,"Nach einer langen Karriere hatte sie Anspruch auf eine <MASK>, die ihr im Ruhestand finanzielle Stabilität verschaffte und ihr einen komfortablen Lebensstil ermöglichte."
170,bean,biene,FALSE COGNATE,N,He ate a <MASK> from his salad.,"After roasting, the room was filled with the rich aroma of the coffee <MASK>, signaling the start of a perfect morning.",Die <MASK> flog vorbei.,"Die <MASK> landete mit ihren zarten Flügeln, die in der Luft summten, auf der Blume und sammelte Nektar und Pollen."
171,clip,klippe,FALSE COGNATE,N,She used a <MASK> to hold the papers together.,"The metal <MASK>, small but sturdy, kept the scattered papers in perfect order.",Die <MASK> ragte aus dem Meer.,"Die gewaltige <MASK>, die sich abrupt aus der Meeresoberfläche erhob, hatte Jahrhunderte lang Gezeiten und Stürme überstanden."
172,ass,as,FALSE COGNATE,N,They took an <MASK> up the mountain.,"The stubborn old <MASK>, laden with goods, trod steadily up the steep, rocky path.",Er hatte die Pik <MASK>.,Im Pokerspiel wird die Pik <MASK> oft als die mächtigste Karte angesehen und symbolisiert Glück und strategische Vorteile in Spielen mit hohen Einsätzen.
173,back,backe,FALSE COGNATE,N,He brushed the dust off his <MASK>.,The supportive pat on his <MASK> offered a sense of reassurance in a moment of doubt.,Sie zwickte ihre <MASK>.,"Ihre <MASK> errötete vor Aufregung, als sie die Bühne betrat und die hellen Lichter vor dem gespannten Publikum einen warmen Glanz auf ihr Gesicht warfen."
174,baggage,bagage,FALSE COGNATE,N,They left their <MASK> behind.,"After the long flight, he struggled to find his <MASK> at the carousel.",Die <MASK> schlenderte um die Ecke.,Die <MASK> hing oft auf der Straße und trug zu einer Atmosphäre der Unordnung und Spannung im Stadtviertel bei.
175,ban,bann,FALSE COGNATE,N,The school imposed a <MASK> on the use of cellphones.,The citywide <MASK> sought to curtail the disruptive influence of technology in public spaces.,Er murmelte leise eine <MASK>.,"Der Zauberer wirkte eine <MASK>, die das Gefüge der Realität veränderte und ein Portal zu einem anderen Reich voller Fabelwesen und verborgener Schätze öffnete."
176,barrack,baracke,FALSE COGNATE,N,They returned to the <MASK> after training.,"The soldiers huddled in the dim <MASK>, exchanging stories of home to ease the evening’s chill.",Die Familie lebte in einer <MASK>.,"In den weitläufigen Slums bot die <MASK>, hergestellt aus geborgenen Metallblechen und Holzbrettern, der Familie nur minimalen Schutz."
