ID,en,en_meaning,fr,fr_meaning,type,lexical_category
223,mundane,"of, relating to, or characteristic of the world",mondain,"worldly, fashionable society",FALSE COGNATE,ADJ
224,improvable,to enhance in value or quality : make better,improuvable,which cannot be proven   ,FALSE COGNATE,ADJ
225,injurious,inflicting or tending to inflict injury : detrimental,injurieux,"which offends, which harms the honor, the dignity of someone",FALSE COGNATE,ADJ
226,intoxicating,affected by alcohol or drugs especially to the point where physical and mental control is markedly diminished,intoxicant,poisonous or toxic,FALSE COGNATE,ADJ
227,unusable,not capable of being used or fit for use : not usable,inusable,"unwearable, that we cannot wear",FALSE COGNATE,ADJ
228,unused,not put to use,inusité,"unusual, not commonly used",FALSE COGNATE,ADJ
229,onerous,"involving, imposing, or constituting a burden : troublesome",onéreux,whose cost is high,FALSE COGNATE,ADJ
230,petulant,insolent or rude in speech or behavior,pétulant,"lively, exuberant",FALSE COGNATE,ADJ
231,sycophant,a servile self-seeking flatterer,sycophante,"informer, denouncer, snitch",FALSE COGNATE,ADJ
232,agonizing,causing agony,agonisant,dying,FALSE COGNATE,ADJ
233,balanced,"being in a state of balance : having different parts or elements properly or effectively arranged, proportioned, regulated, considered, etc.",balancé,well-built (in physique),FALSE COGNATE,ADJ
234,benevolent,marked by or disposed to doing good,bénévole,carried out voluntarily and without financial compensation,FALSE COGNATE,ADJ
235,comprehensive,covering completely or broadly : inclusive,compréhensif,"showing understanding, intelligence, indulgence, broad-mindedness  ",FALSE COGNATE,ADJ
236,oppressed,burdened by abuse of power or authority,oppressé,oppressed in the sense of being unable to breathe: breathless,FALSE COGNATE,ADJ
237,maroon,a dark red,marron,"brown, chestnut",FALSE COGNATE,ADJ
238,preservative,having the power of preserving,préservatif,"contraceptive, prophylactic curative, condom",FALSE COGNATE,ADJ
239,patented,originated by or peculiar to one person or group,patenté,"licensed, or formerly, designated a trader paying the license",FALSE COGNATE,ADJ
240,passionate,"capable of, affected by, or expressing intense feeling",passionnant,"which excites or can excites, captivating, exciting",FALSE COGNATE,ADJ
241,agenda,a list or outline of things to be considered or done,agenda,"notebook or diary, listing the days and often the times",FALSE COGNATE,N
242,chandelier,a branched often ornate lighting fixture suspended from a ceiling,chandelier,candlestick,FALSE COGNATE,N
243,chat,idle small talk,chat,"carnivorous mammal, of the feline family, having many domestic species and some wild ones",FALSE COGNATE,N
244,coin,a usually flat piece of metal issued by governmental authority as money,coin,"acute angle or rectangle formed by two straight lines, two sides",FALSE COGNATE,N
245,courtier,one in attendance at a royal court,courtier,one who serves as an intermediary in a commercial transaction  ,FALSE COGNATE,N
246,dent,a depression or hollow made by a blow or by pressure,dent,"ivory organ covered with enamel, implanted in the maxilla, used for chewing, cutting and shredding food    ",FALSE COGNATE,N
247,destitution,the state of being destitute; especially : such extreme want as threatens life unless relieved,destitution,"act of dismissing, dispossessing of one's office  ",FALSE COGNATE,N
248,dot,a small spot : speck,dot,property brought by a woman when she marries      ,FALSE COGNATE,N
249,mare,a female horse or other equine animal especially when fully mature or of breeding age,mare,small pond,FALSE COGNATE,N
250,pain,a localized or generalized unpleasant bodily sensation or complex of sensations that causes mild to severe physical discomfort and emotional distress and typically results from bodily disorder (such as injury or disease); also : the state marked by the presence of such sensations,pain,"food made from flour, water, water and salt, constituting a kneaded dough, fermented, then baked in the oven",FALSE COGNATE,N
251,basket,a receptacle made of interwoven material (such as osiers),basket,team sport in which two teams of five players must place a ball in the opposing team's basket,FALSE COGNATE,N
252,dais,a raised platform (as in a hall or large room),dais,canopy        ,FALSE COGNATE,N
253,gaze,to fix the eyes in a steady intent look often with eagerness or studious attention,gaze,"light and transparent fabric, silk or cotton",FALSE COGNATE,N
254,foot,the terminal part of the vertebrate leg upon which an individual stands,foot,team sport in which the eleven players on each side must send the ball into the opposing team's goal by pushing it with their foot,FALSE COGNATE,N
255,chair,a seat typically having four legs and a back for one person,chair,muscle tissue,FALSE COGNATE,N
256,vent,an opening for the escape of a gas or liquid or for the relief of pressure,vent,movement of air masses moving from a high pressure area to a low pressure area,FALSE COGNATE,N
257,tour,"a journey for business, pleasure, or education often involving a series of stops and ending at the starting point; also : something resembling such a tour",tour,tower,FALSE COGNATE,N
258,son,a human male offspring especially of human beings,son,sound,FALSE COGNATE,N
259,ride,to sit and travel on the back of an animal that one directs,ride,small fold of skin,FALSE COGNATE,N
260,pin,a piece of solid material (such as wood or metal) used especially for fastening things together or as a support by which one thing may be suspended from another,pin,"pine tree, fir",FALSE COGNATE,N
261,sensible,"having, containing, or indicative of good sense or reason : rational, reasonable",sensible,perceived by the senses,FALSE COGNATE,ADJ
262,usable,capable of being used,usable,"which can wear out, deteriorate through heavy use, become damaged, become exhausted little by little  ",FALSE COGNATE,ADJ
263,truculent,aggressively self-assertive : belligerent,truculent,"Forceful, down to earth, blunt, colourful.",FALSE COGNATE,ADJ
264,trivial,of little worth or importance,trivial,"coarse, vulgar",FALSE COGNATE,ADJ
265,affluent,having an abundance of goods or riches : wealthy,affluent,who joins  ,FALSE COGNATE,ADJ
266,fat,notable for having an unusual amount of fat.,fat,who is pretentious and without much wit,FALSE COGNATE,ADJ
267,impotent,unable to engage in sexual intercourse because of inability to have and maintain an erection; broadly : sterile,impotent,"is said of a person that can no longer move; helpless, crippled",FALSE COGNATE,ADJ
268,inhabitable,to occupy as a place of settled residence or habitat : live in,inhabitable,which cannot be inhabited,FALSE COGNATE,ADJ
269,instant,an infinitesimal space of time; especially : a point in time separating two states,instant,pressing,FALSE COGNATE,ADJ
270,rentable,to grant the possession and enjoyment of in exchange for rent,rentable,which produces significant profits  ,FALSE COGNATE,ADJ
271,rogue,"resembling or suggesting a rogue elephant especially in being isolated, aberrant, dangerous, or uncontrollable",rogue,"who is arrogant, full of arrogance",FALSE COGNATE,ADJ
272,versatile,"embracing a variety of subjects, fields, or skills; also : turning with ease from one thing to another",versatile,"who constantly changes opinion, impression, judgment   ",FALSE COGNATE,ADJ
273,formidable,"causing fear, dread, or apprehension",formidable,"remarkable, sensational   ",FALSE COGNATE,ADJ
274,large,exceeding most other things of like kind especially in quantity or size : big,large,"broad, wide, of a certain extent in the direction perpendicular to the length",FALSE COGNATE,ADJ
275,rude,offensive in manner or action,rude,"hard, gruff, rough, or harsh",FALSE COGNATE,ADJ
276,pleasant,having qualities that tend to give pleasure,plaisant,"amusing, ridiculous",FALSE COGNATE,ADJ
277,secular,not overtly or specifically religious,séculaire,"usually refers to something that takes place once in a hundred years, or which is a century old, very ancient",FALSE COGNATE,ADJ
278,billion,"a number equal to 1,000 million; also, British : a number equal to 1,000 milliard",billion,a million millions ,FALSE COGNATE,ADJ
279,purple,having a color between red and blue : of the color purple,pourpre,of a dark red color tending towards crimson,FALSE COGNATE,ADJ
280,ravishing,"unusually attractive, pleasing, or striking",ravi,"very happy, delighted",FALSE COGNATE,ADJ
281,advertisement,the act or process of advertising something,affiche,"printed text, usually for advertising purposes, posted in a public place",NON COGNATE,N
282,bag,"a usually flexible container that may be closed for holding, storing, or carrying something",sac,"container made of flexible material (canvas, leather, plastic, etc.) and opening from the top",NON COGNATE,N
283,candour,the quality of being open and honest; frankness,franchise,"any exemption, privilege, or right granted to an individual or group by a public authority, such as the right to use public property for a business",NON COGNATE,N
284,cart,a heavy usually horse-drawn 2-wheeled vehicle used for farming or transporting freight,charrette,"wo-wheeled horse-drawn carriage, fitted with a platform for transporting loads",NON COGNATE,N
285,clock,a device other than a watch for indicating or measuring time commonly by means of hands moving on a dial; broadly : any periodic system by which time is measured,horloge,time measuring device,NON COGNATE,N
286,cloak,a loose outer garment,manteau,long-sleeved overcoat worn to protect against the cold,NON COGNATE,N
287,commodity,an economic good: such as a product of agriculture or mining,produit,"good or service resulting from work, manufacturing",NON COGNATE,N
288,conservatory,a greenhouse for growing or displaying plants,serre,glass or plastic walled shelter intended to protect plants from the cold or to grow plants out of season,NON COGNATE,N
289,deception,the act of causing someone to accept as true or valid what is false or invalid : the act of deceiving,tromperie,action that seeks to intentionally deceive,NON COGNATE,N
290,dresser,a chest of drawers or bureau with a mirror,vaisselier,a chest of drawers or bureau with a mirror,NON COGNATE,N
291,fabric,a material that resembles cloth,étoffe,"generic name for fabrics having cohesion and intended for clothing or decoration (a linen fabric, a silky fabric, a checked fabric)",NON COGNATE,N
292,gender,"a subclass within a grammatical class (such as noun, pronoun, adjective, or verb) of a language that is partly arbitrary but also partly based on distinguishable characteristics (such as shape, social rank, manner of existence, or sex) and that determines agreement with and selection of other words or grammatical forms",genre,category based on the natural or conventional distinction of sexes,NON COGNATE,N
293,hate,"intense hostility and aversion usually deriving from fear, anger, or sense of injury",haine,feeling of very deep hostility,NON COGNATE,N
294,bullet,a round or elongated missile (as of lead) to be fired from a firearm,balle,firearm projectiles,NON COGNATE,N
295,journey,something suggesting travel or passage from one place to another,voyage,path that we take to go to a place different from the one where we are ,NON COGNATE,N
296,land,the solid part of the surface of the earth; also : a corresponding part of a celestial body (such as the moon),terre,"soil of this planet where we build, move, live",NON COGNATE,N
297,lecturer,to deliver a lecture or a course of lectures,conférencier,"one who gives lectures, who speaks in public",NON COGNATE,N
298,library,"a place in which literary, musical, artistic, or reference materials (such as books, manuscripts, recordings, or films) are kept for use but not for sale",bibliothèque,place for storing books,NON COGNATE,N
299,lodger,one who occupies a rented room in another's house,locataire,"he, she who rents a house, an apartment, a piece of land",NON COGNATE,N
300,luxury,a condition of abundance or great ease and comfort : sumptuous environment,luxe,abundance of sumptuous things,NON COGNATE,N
301,medicine,a substance or preparation used in treating disease,médicament,substance or composition administered to humans or animals for therapeutic purposes ,NON COGNATE,N
302,nap,to sleep briefly especially during the day : doze,somme,"act of sleeping, outside of the hours of the night devoted to sleep",NON COGNATE,N
303,novel,the literary genre consisting of novels,roman,the literary genre consisting of novels,NON COGNATE,N
304,pool,a small and rather deep body of usually fresh water,piscine,swimming pool,NON COGNATE,N
305,petulance,the quality or state of being petulant : peevishness,irritabilité,"being irritable, reacting to external excitement",NON COGNATE,N
306,glaze,a mixture mostly of oxides (such as silica and alumina) applied to the surface of ceramic wares to form a moisture-impervious and often lustrous or ornamental coating,glaçure,coating with which pottery is covered and which vitrifies during firing,NON COGNATE,N
307,jest,a joking or mocking remark,plaisanterie,words or actions intended to amuse,NON COGNATE,N
308,corn,a small hard particle : grain,blé,plant whose grain provides flour,NON COGNATE,N
309,blanket,a large usually oblong piece of woven fabric used as a bed covering,couverture,"pieces of fabric, wool, to protect against the cold",NON COGNATE,N
310,tutor,a person charged with the instruction and guidance of another,précepteur,person responsible for the instruction of a child at home ,NON COGNATE,N
311,triviality,the quality or state of being trivial,banalité,"stereotypical, cliche",NON COGNATE,N
312,trick,a crafty procedure or practice meant to deceive or defraud,supercherie,"lie, deception, fraud   ",NON COGNATE,N
313,traitor,one who betrays another's trust or is false to an obligation or duty,imposteur,"he who betrays, who deceives trust",NON COGNATE,N
314,target,a mark to shoot at,cible,object targeted in shooting events,NON COGNATE,N
315,scheme,a plan or program of action; especially : a crafty or secret one,plan,"project, strategy",NON COGNATE,N
316,rosary,a string of beads used in counting prayers especially of the Roman Catholic rosary,chapelet,multi-bead necklace used for saying prayers,NON COGNATE,N
317,riddle,"a mystifying, misleading, or puzzling question posed as a problem to be solved or guessed : conundrum, enigma",devinette,funny question whose answer is awaited,NON COGNATE,N
318,rest,"repose, sleep; specifically : a bodily state characterized by minimal functional and metabolic activities",repos,"sleep, absent of movement",NON COGNATE,N
319,reply,to respond in words or writing,réponse,"word, written back ",NON COGNATE,N
320,rape,"unlawful sexual activity and usually sexual intercourse carried out forcibly or under threat of injury against a person's will or with a person who is beneath a certain age or incapable of valid consent because of mental illness, mental deficiency, intoxication, unconsciousness, or deception",viol,act of sexual penetration committed or attempted by violence,NON COGNATE,N
321,raffle,a lottery in which the prize is won by one of numerous persons buying chances,loterie,game of chance in which numbers are drawn to designate winning tickets,NON COGNATE,N
322,quill,"a bobbin, spool, or spindle on which filling yarn is wound",plume d'oie,"a bobbin, spool, or spindle on which filling yarn is wound",NON COGNATE,N
323,patent,an official document conferring a right or privilege,brevet,title protecting an invention,NON COGNATE,N
324,flick,a light sharp jerky stroke or movement,chiquenaude,blow resulting from the relaxation of the index or middle finger after compression of it against the inside of the thumb ,NON COGNATE,N
325,lock,a fastening (as for a door) operated by a key or a combination,serrure,closing mechanism,NON COGNATE,N
326,loop,a curving or doubling of a line so as to form a closed or partly open curve within itself through which another line can be passed or into which a hook may be hooked,boucle,ring with a pin used to close a belt,NON COGNATE,N
327,leg,a limb of an animal used especially for supporting the body and for walking.,jambe,part of the lower limb extending from the knee to the instep,NON COGNATE,N
328,jug,"a large deep container (as of glass, earthenware, or plastic) with a narrow mouth and a handle",cruche,"container for water or liquid, its contents",NON COGNATE,N
329,jacket,"a garment for the upper body usually having a front opening, collar, lapels, sleeves, and pockets",veston,dress vests ,NON COGNATE,N
330,inconvenience,something that is inconvenient,dérangement,"act of disturbing, of bothering, in the literal and figurative sense",NON COGNATE,N
331,actual,existing in fact or reality,veritable,"in accordance with the truth, with what is true",NON COGNATE,ADJ
332,dishonest,"shameful, unchaste",malhonnête,"who lacks honesty, probity",NON COGNATE,ADJ
333,genial,marked by or freely expressing sympathy or friendliness,bienveillant,showing or expressing kindness,NON COGNATE,ADJ
334,gentle,"free from harshness, sternness, or violence",doux,"who does not exercise any violence, who shows tenderness or who shows gentleness",NON COGNATE,ADJ
335,jolly,full of high spirits : joyous,jovial,who likes to laugh and joke,NON COGNATE,ADJ
336,luxurious,"characterized by opulence, sumptuousness, or rich abundance : of, relating to, or marked by luxury",luxueux,remarkable for its luxury,NON COGNATE,ADJ
337,miserable,being in a pitiable state of distress or unhappiness (as from want or shame),triste,which feels or inspires sorrow,NON COGNATE,ADJ
338,livid,discolored by bruising,furieux,"the snake-haired goddesses of vengeance, usually three in number, who pursued unpunished criminals",NON COGNATE,ADJ
339,candid,marked by honest sincere expression,franc,"which is true, without mixture",NON COGNATE,ADJ
340,blessed,honored in worship,béni,"who has been blessed, who has received a blessing",NON COGNATE,ADJ
341,vulgar,"lacking in cultivation, perception, or taste : coarse",impoli,"who is impolite, who is rude",NON COGNATE,ADJ
342,vivacious,"lively in temper, conduct, or spirit : sprightly",animé,"lively in temper, conduct, or spirit : sprightly",NON COGNATE,ADJ
343,villainous,befitting a villain (as in evil or depraved character),scélérat,"criminal, infamous   ",NON COGNATE,ADJ
344,lunatic,someone affected with a severely disordered state of mind,de fou,someone affected with a severely disordered state of mind,NON COGNATE,ADJ
345,sympathetic,"existing or operating through an affinity, interdependence, or mutual association",compatissant,"who feels a sense of pity, who has sympathy for the misfortunes of others",NON COGNATE,ADJ
346,replete,fully or abundantly provided or filled,repu,satiated,NON COGNATE,ADJ
347,mystifying,to perplex the mind of : bewilder,incomprehénsible,which cannot be understood ,NON COGNATE,ADJ
348,abusive,characterized by wrong or improper use or action,injurieux,"which offends, which harms the honor, the dignity of someone",NON COGNATE,ADJ
349,adept,thoroughly proficient : expert,habile,who has a lot of manual skill,NON COGNATE,ADJ
350,adequate,sufficient for a specific need or requirement; also : good enough : of a quality that is good or acceptable : of a quality that is acceptable but not better than acceptable,suffisant,is enough,NON COGNATE,ADJ
351,alterable,to make different without changing into something else,changeable,that can be changed,NON COGNATE,ADJ
352,altered,made different in some way,changé,who has undergone a transformation ,NON COGNATE,ADJ
353,blind,having less than 1/10 of normal vision in the more efficient eye when refractive defects are fully corrected by lenses,aveugle,"no longer having sight, not seeing",NON COGNATE,ADJ
354,defiant,"full of or showing a disposition to challenge, resist, or fight : full of or showing defiance : bold, impudent",réfractaire,who refuses to submit ,NON COGNATE,ADJ
355,disgraceful,bringing or involving disgrace,scandaleux,"which is the cause of shame, of dishonor",NON COGNATE,ADJ
356,droll,"having a humorous, whimsical, or odd quality",cocasse,"fun, weird and funny",NON COGNATE,ADJ
357,poisonous,"destructive, harmful",vénéneux,which contains a poison dangerous for the human body  ,NON COGNATE,ADJ
358,extenuating,"tending to lessen the real or apparent seriousness of something (such as a crime, offense, or fault) : providing a partial justification or excuse for something —usually used in the phrase extenuating circumstances",atténuant,making me less serious ,NON COGNATE,ADJ
359,fast,"characterized by quick motion, operation, or effect",rapide,which goes very fast,NON COGNATE,ADJ
360,fastidious,"characterized by a meticulous, sensitive, or demanding attitude",difficile,"demanding effort, painful",NON COGNATE,ADJ
361,foolish,a person lacking in judgment or prudence,idiot,devoid of intelligence ,NON COGNATE,ADJ
362,gross,glaringly noticeable usually because of inexcusable badness or objectionableness,brut,glaringly noticeable usually because of inexcusable badness or objectionableness,NON COGNATE,ADJ
363,mundane,"of, relating to, or characteristic of the world",banal,"of, relating to, or characteristic of the world",NON COGNATE,ADJ
364,improvable,to enhance in value or quality : make better,amendable,which can be amended,NON COGNATE,ADJ
365,injurious,inflicting or tending to inflict injury : detrimental,nuisible,"which causes harm, which injures",NON COGNATE,ADJ
366,intoxicating,affected by alcohol or drugs especially to the point where physical and mental control is markedly diminished,enivrant,which fills with a kind of intoxication,NON COGNATE,ADJ
367,unusable,not capable of being used or fit for use : not usable,inutilisable,which cannot be used   ,NON COGNATE,ADJ
368,unused,not put to use,inutilisé,that we do not use,NON COGNATE,ADJ
369,onerous,"involving, imposing, or constituting a burden : troublesome",lourd,which is of a very notable weight,NON COGNATE,ADJ
370,petulant,insolent or rude in speech or behavior,irritable,which is likely to react to an excitation coming from outside     ,NON COGNATE,ADJ
371,sycophant,a servile self-seeking flatterer,flagorneur,"who flatters, who flatters basely",NON COGNATE,ADJ
372,agonizing,causing agony,navrant,"distressing, annoying",NON COGNATE,ADJ
373,balanced,"being in a state of balance : having different parts or elements properly or effectively arranged, proportioned, regulated, considered, etc.",équilibré,which is in balance,NON COGNATE,ADJ
374,benevolent,marked by or disposed to doing good,bienveillant,showing or expressing kindness,NON COGNATE,ADJ
375,comprehensive,covering completely or broadly : inclusive,complet,in which nothing is missing,NON COGNATE,ADJ
376,oppressed,burdened by abuse of power or authority,opprimé,burdened by abuse of power or authority,NON COGNATE,ADJ
377,maroon,a dark red,grenat,of a dark red like the gemstone of the same name,NON COGNATE,ADJ
378,preservative,having the power of preserving,conservateur,keep to preserve,NON COGNATE,ADJ
379,patented,originated by or peculiar to one person or group,breveté,"having a certificate, a degree of training",NON COGNATE,ADJ
380,passionate,"capable of, affected by, or expressing intense feeling",passionné,"captivated, infatuated",NON COGNATE,ADJ
381,agenda,a list or outline of things to be considered or done,ordre du jour,a list or outline of things to be considered or done,NON COGNATE,N
382,chandelier,a branched often ornate lighting fixture suspended from a ceiling,lustre,"multi-branch lighting fixture, which is suspended from the ceiling ",NON COGNATE,N
383,chat,idle small talk,causerie,speak with a familiar person(s) ,NON COGNATE,N
384,coin,a usually flat piece of metal issued by governmental authority as money,pièce de monnaie,a usually flat piece of metal issued by governmental authority as money,NON COGNATE,N
385,courtier,one in attendance at a royal court,courtisan,"person who lived in the king's entourage, at his court",NON COGNATE,N
386,dent,a depression or hollow made by a blow or by pressure,bosse,a depression or hollow made by a blow or by pressure,NON COGNATE,N
387,destitution,the state of being destitute; especially : such extreme want as threatens life unless relieved,dénuement,"lack of necessities, poverty",NON COGNATE,N
388,dot,a small spot : speck,point,small dot,NON COGNATE,N
389,mare,a female horse or other equine animal especially when fully mature or of breeding age,jument,female of the horse,NON COGNATE,N
390,pain,a localized or generalized unpleasant bodily sensation or complex of sensations that causes mild to severe physical discomfort and emotional distress and typically results from bodily disorder (such as injury or disease); also : the state marked by the presence of such sensations,douleur,"pain, painful physical sensation",NON COGNATE,N
391,basket,a receptacle made of interwoven material (such as osiers),panier,"a hollow object made of wickerwork or wire mesh, fulfilling various functions",NON COGNATE,N
392,dais,a raised platform (as in a hall or large room),estrade,raised floor of several steps,NON COGNATE,N
393,gaze,to fix the eyes in a steady intent look often with eagerness or studious attention,regard,action of looking at something or someone,NON COGNATE,N
394,foot,the terminal part of the vertebrate leg upon which an individual stands,pied,lower end of the leg on which the body rests and is used for walking,NON COGNATE,N
395,chair,a seat typically having four legs and a back for one person,chaise,seat with a backrest but no armrests,NON COGNATE,N
396,vent,an opening for the escape of a gas or liquid or for the relief of pressure,conduit,drain pipe,NON COGNATE,N
397,tour,"a journey for business, pleasure, or education often involving a series of stops and ending at the starting point; also : something resembling such a tour",excursion,travel a country or region for discovery or pleasure,NON COGNATE,N
398,son,a human male offspring especially of human beings,fils,male child,NON COGNATE,N
399,ride,to sit and travel on the back of an animal that one directs,promenade,to sit and travel on the back of an animal that one directs,NON COGNATE,N
400,pin,a piece of solid material (such as wood or metal) used especially for fastening things together or as a support by which one thing may be suspended from another,épingle,"small metal needle with a head at one end used for fixing, attaching",NON COGNATE,N
401,sensible,"having, containing, or indicative of good sense or reason : rational, reasonable",raisonable,who thinks and acts in accordance with reason,NON COGNATE,ADJ
402,usable,capable of being used,utilisable,"which can be used, which can still be used",NON COGNATE,ADJ
403,truculent,aggressively self-assertive : belligerent,agressif,"which shows aggressiveness, which is provocative ",NON COGNATE,ADJ
404,trivial,of little worth or importance,insignifiant,"which has little value, quality, without much consequence",NON COGNATE,ADJ
405,affluent,having an abundance of goods or riches : wealthy,riche,who has a large fortune,NON COGNATE,ADJ
406,fat,notable for having an unusual amount of fat.,gros,which has a lot of volume,NON COGNATE,ADJ
407,impotent,unable to engage in sexual intercourse because of inability to have and maintain an erection; broadly : sterile,impuissant,unable to perform the sexual act,NON COGNATE,ADJ
408,inhabitable,to occupy as a place of settled residence or habitat : live in,habitable,where you can live,NON COGNATE,ADJ
409,instant,an infinitesimal space of time; especially : a point in time separating two states,immédiat,which follows or precedes without intermediary,NON COGNATE,ADJ
410,rentable,to grant the possession and enjoyment of in exchange for rent,louable,"which can be rented, rented",NON COGNATE,ADJ
411,rogue,"resembling or suggesting a rogue elephant especially in being isolated, aberrant, dangerous, or uncontrollable",malicieux,"mischievous, who likes to tease others",NON COGNATE,ADJ
412,versatile,"embracing a variety of subjects, fields, or skills; also : turning with ease from one thing to another",polyvalent,having several functions or several skills,NON COGNATE,ADJ
413,formidable,"causing fear, dread, or apprehension",redoutable,"who must be feared, feared  ",NON COGNATE,ADJ
414,large,exceeding most other things of like kind especially in quantity or size : big,grand,which has extended dimensions,NON COGNATE,ADJ
415,rude,offensive in manner or action,impoli,"who is rude, who is rude",NON COGNATE,ADJ
416,pleasant,having qualities that tend to give pleasure,agréable,having qualities that tend to give pleasure,NON COGNATE,ADJ
417,secular,not overtly or specifically religious,laïque,not overtly or specifically religious,NON COGNATE,ADJ
418,billion,"a number equal to 1,000 million; also, British : a number equal to 1,000 milliard",milliard,thousand million,NON COGNATE,ADJ
419,purple,having a color between red and blue : of the color purple,violet,of a color similar to that of violet,NON COGNATE,ADJ
420,ravished,to seize and take away by violence,violé,"abused, fractured, violated closed, repaired",NON COGNATE,ADJ
