ID,en,fr,type,lexical_category,low_en,high_en,low_fr,high_fr
96,venomous,venimeux,COGNATE,ADJ,The snake was <MASK>.,"The <MASK> cobra, with its hood flared, posed a lethal threat to anyone who ventured too close.",Le serpent était <MASK>.,"Le cobra <MASK>, avec sa capuche évasée, représentait une menace mortelle pour quiconque s'aventurait trop près."
97,arbitrary,arbitraire,COGNATE,ADJ,His decision seemed <MASK>.,"The decision to cancel the event seemed <MASK>, especially since there were no clear reasons given for the change.",Sa décision semblait <MASK>.,"La décision d'annuler l'événement a semblé <MASK>, d'autant plus qu'aucune raison claire n'a été donnée pour ce changement."
98,curious,curieux,COGNATE,ADJ,She was <MASK> about the new museum exhibit.,The scientist’s <MASK> approach to problem-solving led to unexpected discoveries that revolutionized the field of genetics.,Elle était <MASK> à propos de la nouvelle exposition du musée.,L’approche <MASK> du scientifique en matière de résolution de problèmes a conduit à des découvertes inattendues qui ont révolutionné le domaine de la génétique.
99,different,différent,COGNATE,ADJ,The design was <MASK> from what I expected.,"Her approach to solving the problem was <MASK> from the traditional method, offering a fresh perspective.",Le design était <MASK> par rapport à ce à quoi je m'attendais.,"Son approche pour résoudre le problème était <MASK> de la méthode traditionnelle, offrant une nouvelle perspective."
100,gracious,gracieux,COGNATE,ADJ,She was very <MASK> to her guests.,The queen’s <MASK> demeanor during the state visit won the hearts of the people and solidified diplomatic relations between the nations.,Elle était très <MASK> envers ses invités.,L’attitude de la reine <MASK> lors de la visite d’État a conquis le cœur du peuple et solidifié les relations diplomatiques entre les nations.
101,glorious,glorieux,COGNATE,ADJ,The sunset was absolutely <MASK>.,"The army’s <MASK> triumph in battle was immortalized in the nation’s history books, celebrated for generations to come.",Le coucher de soleil était absolument <MASK>.,"Le triomphe de l’armée <MASK> au combat a été immortalisé dans les livres d’histoire du pays, célébrés pour les générations à venir."
102,incurable,incurable,COGNATE,ADJ,His disease was <MASK>.,"Doctors have been tirelessly searching for a cure, but the disease remains <MASK>, affecting millions worldwide.",Sa maladie était <MASK>.,"Les médecins recherchent sans relâche un remède, mais la maladie reste <MASK>, touchant des millions de personnes dans le monde."
103,invisible,invisible,COGNATE,ADJ,The superhero could become <MASK> at will.,"The <MASK> barrier between the two countries is not marked by fences, but by decades of mistrust and political tension.",Le super-héros pourrait devenir <MASK> à volonté.,"La barrière <MASK> entre les deux pays n’est pas marquée par des barrières, mais par des décennies de méfiance et de tensions politiques."
104,magnetic,magnétique,COGNATE,ADJ,The magnet was <MASK>.,"The actor had a <MASK> charm that drew crowds to the theatre, making each of his movies a box office hit.",L'aimant était <MASK>.,"L'acteur avait un charme <MASK> qui attirait les foules au théâtre, faisant de chacun de ses films un succès au box-office."
105,notable,notable,COGNATE,ADJ,The artist was a <MASK> figure in the art world.,"Among the <MASK> achievements of the scientist was her groundbreaking research in renewable energy, which paved the way for sustainable technologies.",L’artiste était une figure <MASK> du monde de l’art.,"Parmi les réalisations <MASK> de la scientifique figurait ses recherches révolutionnaires sur les énergies renouvelables, qui ont ouvert la voie aux technologies durables."
106,automatic,automatique,COGNATE,ADJ,The door opened with an <MASK> lock.,"The <MASK> system adjusted the room’s temperature based on the number of people inside, ensuring maximum comfort.",La porte s'est ouverte avec une serrure <MASK>.,"Le système <MASK> ajuste la température de la pièce en fonction du nombre de personnes à l’intérieur, garantissant ainsi un confort maximal."
107,horrible,horrible,COGNATE,ADJ,The food tasted <MASK>.,"The <MASK> conditions in the refugee camps sparked outrage from international humanitarian organizations, calling for immediate aid and reform.",La nourriture avait le goût de <MASK>.,"Les conditions de <MASK> dans les camps de réfugiés ont suscité l'indignation des organisations humanitaires internationales, appelant à une aide et à des réformes immédiates."
108,absolute,absolu,COGNATE,ADJ,He is in <MASK> control of the situation.,"The dictator’s <MASK> power over the country allowed him to rule without opposition, suppressing any dissent.",Il contrôle <MASK> la situation.,"Le pouvoir <MASK> du dictateur sur le pays lui a permis de gouverner sans opposition, supprimant toute dissidence."
109,dangerous,dangereux,COGNATE,ADJ,The journey was <MASK> due to the weather.,Navigating the treacherous waters without a guide proved <MASK> as the currents pulled the boat towards the rocks.,Le trajet était <MASK> en raison de la météo.,Naviguer dans les eaux dangereuses sans guide s'est avéré <MASK> alors que les courants tiraient le bateau vers les rochers.
110,entire,entier,COGNATE,ADJ,The <MASK> group decided to attend the event.,The company invested the <MASK> year's budget into developing a groundbreaking new product that could revolutionize the industry.,Le groupe <MASK> a décidé d'assister à l'événement.,L'entreprise a investi le budget de l'année <MASK> dans le développement d'un nouveau produit révolutionnaire qui pourrait révolutionner l'industrie.
111,clear,clair,COGNATE,ADJ,The instructions were very <MASK>.,"After hours of confusion, it finally became <MASK> that the software bug was causing the system to crash repeatedly.",Les instructions étaient très <MASK>.,"Après des heures de confusion, il est finalement devenu <MASK> que le bug logiciel provoquait des plantages répétés du système."
112,simple,simple,COGNATE,ADJ,The problem had a <MASK> solution.,What seemed <MASK> at first—building a bridge over the river—turned into a complex engineering challenge due to unstable ground.,Le problème avait une solution <MASK>.,Ce qui semblait au premier abord <MASK> – construire un pont sur la rivière – s'est transformé en un défi d'ingénierie complexe en raison de l'instabilité du sol.
113,gradual,graduel,COGNATE,ADJ,The change was <MASK> over the years.,"Over time, the changes were so <MASK> that no one noticed how drastically the landscape had shifted until the trees were nearly gone.",Le changement a été <MASK> au fil des années.,"Au fil du temps, les changements étaient tels <MASK> que personne n'a remarqué à quel point le paysage avait changé jusqu'à ce que les arbres disparaissent presque."
114,dramatic,dramatique,COGNATE,ADJ,The story took a <MASK> turn in the final act.,"The <MASK> shift in the stock market caught investors off guard, leading to widespread panic.",L'histoire a pris une tournure <MASK> dans l'acte final.,"Le changement de <MASK> sur le marché boursier a pris les investisseurs au dépourvu, provoquant une panique généralisée."
115,traditional,traditionnel,COGNATE,ADJ,The family followed <MASK> customs during the holiday.,"By honoring <MASK> values in their wedding ceremony, the couple managed to blend cultural heritage with modern elements.",La famille a suivi les coutumes de <MASK> pendant les vacances.,"En honorant les valeurs de <MASK> lors de leur cérémonie de mariage, le couple a réussi à mélanger le patrimoine culturel avec des éléments modernes."
116,regular,régulier,COGNATE,ADJ,He follows a <MASK> exercise routine.,"Despite his <MASK> participation in marathons, his performance in the race this year was a personal best and truly remarkable.",Il suit une routine d’exercices <MASK>.,"Malgré sa participation à des marathons <MASK>, sa performance dans la course cette année a été un record personnel et vraiment remarquable."
117,important,important,COGNATE,ADJ,This is an <MASK> issue that needs attention.,The researcher realized that the seemingly minor detail was actually <MASK> in solving the mystery of the ancient manuscript.,Il s'agit d'un problème <MASK> qui nécessite une attention particulière.,Le chercheur s'est rendu compte que le détail apparemment mineur était en fait <MASK> dans la résolution du mystère de l'ancien manuscrit.
118,perfect,parfait,COGNATE,ADJ,She wanted everything to be <MASK> for the party.,"The conditions on the day of the event were <MASK> for outdoor activities, with sunny skies and a light breeze.",Elle voulait que tout soit <MASK> pour la fête.,"Les conditions le jour de l'événement étaient <MASK> pour les activités de plein air, avec un ciel ensoleillé et une légère brise."
119,fabulous,fabuleux,COGNATE,ADJ,The vacation was <MASK>.,"The actress delivered a <MASK> performance, earning her a standing ovation and rave reviews from critics.",Les vacances étaient <MASK>.,"L'actrice a livré une performance de <MASK>, qui lui a valu une standing ovation et des critiques élogieuses de la part des critiques."
120,legal,légal,COGNATE,ADJ,The contract was <MASK>.,The <MASK> precedent set by the case will influence future court decisions on intellectual property rights.,Le contrat était <MASK>.,Le précédent <MASK> créé par l'affaire influencera les futures décisions de justice en matière de droits de propriété intellectuelle.
121,immense,immense,COGNATE,ADJ,The mountains were <MASK>.,The <MASK> challenge of building a space station on Mars will require international cooperation and cutting-edge technology.,Les montagnes étaient <MASK>.,Le défi <MASK> de construire une station spatiale sur Mars nécessitera une coopération internationale et une technologie de pointe.
122,popular,populaire,COGNATE,ADJ,"The <MASK> song echoed through the streets, bringing smiles to faces.",The <MASK> uprising against the authoritarian regime sparked a revolution that changed the nation’s political landscape.,"La chanson <MASK> a résonné dans les rues, faisant sourire les visages.",Le soulèvement du <MASK> contre le régime autoritaire a déclenché une révolution qui a changé le paysage politique du pays.
123,imaginary,imaginaire,COGNATE,ADJ,The monster in the story was <MASK>.,"Her <MASK> world was filled with mystical creatures and enchanted forests, a vivid escape from reality.",Le monstre de l'histoire était <MASK>.,"Son monde <MASK> était rempli de créatures mystiques et de forêts enchantées, une évasion vivante de la réalité."
124,vacant,vacant,COGNATE,ADJ,The house was <MASK> for years.,"The <MASK> building, once a bustling hub of activity, now stood abandoned, its windows boarded up and walls crumbling.",La maison était <MASK> pendant des années.,"Le bâtiment <MASK>, autrefois un centre d'activité très animé, est désormais abandonné, ses fenêtres condamnées et ses murs s'effondrent."
125,romantic,romantique,COGNATE,ADJ,The setting was very <MASK>.,The <MASK> sunset over the French Riviera provided the perfect backdrop for their engagement.,Le réglage était très <MASK>.,Le coucher de soleil <MASK> sur la Côte d'Azur a fourni la toile de fond idéale pour leurs fiançailles.
126,practical,pratique,COGNATE,ADJ,Her <MASK> advice helped me solve the issue.,The <MASK> applications of artificial intelligence are transforming industries from healthcare to transportation.,Ses conseils <MASK> m'ont aidé à résoudre le problème.,Les applications <MASK> de l’intelligence artificielle transforment les secteurs de la santé aux transports.
127,deficient,déficient,COGNATE,ADJ,His diet was <MASK> in nutrients.,The <MASK> funding for public education has sparked widespread debate about government priorities.,Son régime était <MASK> en nutriments.,Le financement <MASK> de l'éducation publique a suscité un large débat sur les priorités du gouvernement.
128,evident,évident,COGNATE,ADJ,It was <MASK> that she was upset.,The <MASK> decline in pollinator populations has prompted environmentalists to call for urgent conservation efforts.,C'était <MASK> qu'elle était bouleversée.,Le déclin <MASK> des populations de pollinisateurs a incité les environnementalistes à appeler à des efforts urgents de conservation.
129,decisive,décisif,COGNATE,ADJ,He made a <MASK> move to end the debate.,The general’s <MASK> tactics during the battle led to a swift and conclusive victory for his army.,Il fit un geste <MASK> pour mettre fin au débat.,La tactique <MASK> du général pendant la bataille a conduit à une victoire rapide et concluante de son armée.
130,applicable,applicable,COGNATE,ADJ,The skills she learned were highly <MASK> to her new job.,The <MASK> rules and regulations ensured that all businesses adhered to environmental protection standards.,Les compétences qu'elle a acquises étaient hautement <MASK> pour son nouvel emploi.,Les règles et réglementations <MASK> garantissaient que toutes les entreprises adhéraient aux normes de protection de l'environnement.
131,diligent,diligent,COGNATE,ADJ,She is very <MASK> in her studies.,The <MASK> research conducted by the team led to groundbreaking discoveries in renewable energy technology.,Elle est très <MASK> dans ses études.,Les recherches <MASK> menées par l'équipe ont conduit à des découvertes révolutionnaires dans le domaine des technologies des énergies renouvelables.
132,optimistic,optimiste,COGNATE,ADJ,He remained <MASK> despite the challenges.,The <MASK> outlook of the economist predicted a steady recovery for the global economy following the recession.,Il est resté <MASK> malgré les défis.,Les perspectives <MASK> de l'économiste prévoyaient une reprise régulière de l'économie mondiale après la récession.
133,typical,typique,COGNATE,ADJ,The design was <MASK> of that era.,"The <MASK> symptoms of the illness include fever, fatigue, and a persistent cough.",Le design était le <MASK> de cette époque.,"Les symptômes <MASK> de la maladie comprennent de la fièvre, de la fatigue et une toux persistante."
134,real,réel,COGNATE,ADJ,The story is based on <MASK> events.,"The <MASK> consequences of climate change are already being felt, with rising sea levels and more frequent natural disasters.",L'histoire est basée sur les événements <MASK>.,"Les conséquences <MASK> du changement climatique se font déjà sentir, avec une élévation du niveau de la mer et des catastrophes naturelles plus fréquentes."
135,precise,précis,COGNATE,ADJ,Her instructions were <MASK>.,"The surgeon’s <MASK> incision minimized damage to surrounding tissue, ensuring a successful outcome for the patient.",Ses instructions étaient <MASK>.,"L’incision <MASK> du chirurgien a minimisé les dommages aux tissus environnants, garantissant ainsi un résultat positif pour le patient."
136,patient,patient,COGNATE,ADJ,The doctor was very <MASK> with her.,The teacher’s <MASK> guidance helped the struggling student build confidence and improve academically.,Le médecin était très <MASK> avec elle.,Les conseils <MASK> de l’enseignant ont aidé l’élève en difficulté à gagner en confiance et à s’améliorer sur le plan académique.
137,splendid,splendide,COGNATE,ADJ,The view from the mountain was <MASK>.,"The <MASK> display of fireworks lit up the night sky, celebrating the country’s independence with grandeur.",La vue depuis la montagne était <MASK>.,"Le feu d’artifice <MASK> a illuminé le ciel nocturne, célébrant avec grandeur l’indépendance du pays."
138,inseparable,inséparable,COGNATE,ADJ,The <MASK> duo moved through life with an unspoken understanding.,"The <MASK> bond between the two friends remained strong, even after years of living in different countries.",Le duo <MASK> a traversé la vie avec une compréhension tacite.,"Le lien <MASK> entre les deux amis est resté fort, même après des années de vie dans des pays différents."
139,contrary,contraire,COGNATE,ADJ,His views were <MASK> to mine.,The <MASK> opinions expressed during the debate highlighted the deep divisions within the political landscape.,Ses opinions étaient <MASK> pour moi.,Les opinions <MASK> exprimées au cours du débat ont mis en évidence les profondes divisions au sein du paysage politique.
140,ethical,éthique,COGNATE,ADJ,Her decision was completely <MASK>.,The company’s <MASK> practices have earned it a reputation for fairness and integrity in its treatment of employees and the environment.,Sa décision était complètement <MASK>.,Les pratiques <MASK> de l’entreprise lui ont valu une réputation d’équité et d’intégrité dans son traitement des employés et de l’environnement.
141,advertisement,avertissement,FALSE COGNATE,N,The <MASK> caught my attention.,"The <MASK> cleverly highlighted the product's unique features, making it stand out in a crowded market.",Le service météo a publié un <MASK> sur son site Internet.,"Le service météorologique a émis un <MASK> concernant les orages violents, conseillant aux résidents de prendre les précautions nécessaires."
142,bag,bague,FALSE COGNATE,N,She carried a large <MASK>.,"The <MASK> was filled to the brim with groceries, making it difficult for her to carry home.",Elle n'a pas porté son <MASK> pour la fête.,"Le diamant étincelant <MASK> à son doigt a attiré l'attention de tous pendant l'événement, symbolisant ses récents fiançailles."
143,candour,candeur,FALSE COGNATE,N,His <MASK> impressed everyone.,"Her <MASK> during the discussion fostered trust among the team, leading to open and honest communication.",Le <MASK> de l'enfant était évident.,Le <MASK> de l’enfant était évident dans ses questions non filtrées et son rire pur.
144,cart,carte,FALSE COGNATE,N,We used a small <MASK> to carry the boxes into the house.,"The <MASK> was loaded with fresh produce and essential items, making the shopping trip feel productive.",Il vérifia le <MASK> pour obtenir des directions.,"Il se pencha sur le vieux <MASK>, espérant qu'il révélerait un chemin caché à travers la forêt dense."
145,clock,cloque,FALSE COGNATE,N,The old <MASK> needed a new battery.,"The <MASK> on the wall chimed every hour, its echo resonating throughout the quiet room.",Elle remarqua un <MASK> sur son talon.,"Après avoir parcouru des kilomètres avec des bottes neuves, elle a découvert un <MASK> douloureux sur son talon."
146,cloak,cloaque,FALSE COGNATE,N,She wore a long <MASK>.,"The <MASK> draped elegantly over her shoulders, adding an air of mystery to her presence.",L'étang s'est transformé en un <MASK>.,"Des années de négligence avaient transformé l'étang en un <MASK> trouble, rempli de débris et d'eau nauséabonde."
147,commodity,commodité,FALSE COGNATE,N,Gold is a valuable <MASK>.,The rising demand for renewable energy sources has made solar panels a highly sought-after <MASK>.,Elle a apprécié le <MASK> des achats en ligne.,Le <MASK> des achats en ligne lui a permis de trouver et de comparer facilement des produits sans quitter son domicile.
148,conservatory,conservatoire,FALSE COGNATE,N,The <MASK> was beautiful and attracted many visitors.,"The <MASK>, filled with exotic plants and bright flowers, served as a peaceful retreat from the bustling city outside.",Ils ont visité un <MASK> lors de leur voyage.,"Ils ont passé des heures à l'histoire naturelle <MASK>, captivés par d'anciens fossiles et des artefacts rares de différentes époques."
149,deception,déception,FALSE COGNATE,N,His story was a <MASK>.,"The elaborate <MASK> had everyone believing his lies, revealing the lengths he would go to for personal gain.",Il y avait <MASK> dans son ton.,Son <MASK> était clair lorsque le projet tant attendu n'a pas tenu ses promesses.
150,dresser,dresseur,FALSE COGNATE,N,She organized her clothes in the <MASK>.,"The <MASK> was neatly arranged, with each drawer holding her favorite outfits and accessories.",Le <MASK> a réalisé des tours avec son chien.,Le talentueux <MASK> a captivé le public avec des tours de chien complexes et un timing impeccable.
151,fabric,fabrique,FALSE COGNATE,N,The <MASK> felt soft against my skin.,"The luxurious <MASK> of the gown flowed gracefully, making it the perfect choice for the evening gala.",Le <MASK> se trouvait juste à l’extérieur de la ville.,La grande entreprise textile <MASK> située à la périphérie de la ville employait des centaines de résidents locaux.
152,gender,gendre,FALSE COGNATE,N,<MASK> roles have evolved over time.,"The study explored how <MASK> roles have transformed in modern society, challenging traditional stereotypes.",Son <MASK> a aidé aux réparations.,Son <MASK> fiable avait toujours pris soin de sa fille depuis leur mariage.
153,hate,hâte,FALSE COGNATE,N,There was a lot of <MASK> in the room.,The <MASK> displayed during the debate revealed deep-seated issues that needed to be addressed.,Elle s'est déplacée avec <MASK> pour prendre le bus.,"Dans son <MASK> pour prendre le premier bus, il a laissé ses clés sur le comptoir de la cuisine."
154,bullet,boulet,FALSE COGNATE,N,The <MASK> left a dent in the wall.,"A <MASK>, small but devastating, was the ominous messenger of fate on the battlefield.",Le <MASK> a volé à travers le champ.,"Le <MASK> frappa avec force, brisant la barricade et résonnant sur le champ de bataille."
155,journey,journée,FALSE COGNATE,N,Their <MASK> took them across the country.,The <MASK> through breathtaking landscapes and quaint towns left them with lasting memories.,Elle attendait avec impatience le prochain <MASK>.,"Après une semaine longue et difficile, elle attendait avec impatience le reposant <MASK> qui l'attendait."
156,land,lande,FALSE COGNATE,N,The dog ran across the <MASK>.,"The <MASK> stretched out before them, rich with nutrients and perfect for planting crops.",Ils ont marché à travers le <MASK> ouvert.,"Le vaste <MASK> balayé par le vent s'étendait à l'infini, seul le bruit de la bruyère brisant le silence."
157,lecturer,lecteur,FALSE COGNATE,N,The <MASK> shared insightful knowledge.,The <MASK> captivated the audience with her engaging presentation on climate change and its global impacts.,Le <MASK> a beaucoup apprécié l'histoire.,"<MASK> vorace, elle dévorait les livres, toujours désireuse d'explorer de nouveaux mondes et de nouvelles idées."
158,library,librairie,FALSE COGNATE,N,The <MASK> was quiet and peaceful.,"Filled with the scent of old books, the <MASK> provided a tranquil atmosphere for studying and research.",Il est allé au <MASK> après le travail.,"Désireux d'acheter un nouveau thriller, il s'est rendu au <MASK> local et a parcouru les étagères pendant des heures."
159,lodger,logeur,FALSE COGNATE,N,She was a friendly <MASK> who loved to chat.,"The <MASK> was quiet and respectful, making him an ideal tenant in their shared home.",Son <MASK> a inspecté l'appartement.,Le <MASK> est arrivé pour vérifier les réparations récentes et discuter des plans de maintenance à venir.
160,luxury,luxure,FALSE COGNATE,N,They enjoyed a life of <MASK>.,Their life of <MASK> was evident in the grand mansion and expensive cars they owned.,Son <MASK> en a offensé beaucoup.,Son <MASK> constant et ses commentaires inappropriés rendaient les réunions sociales inconfortables pour tout le monde.
161,medicine,médecin,FALSE COGNATE,N,He studied <MASK> at the university for years.,"The <MASK> prescribed by the physician was crucial in her recovery, alleviating her symptoms significantly.",Le <MASK> a vérifié son pouls.,Le <MASK> expérimenté a soigneusement examiné ses symptômes avant de recommander un traitement.
162,nap,nappe,FALSE COGNATE,N,He took a short <MASK> before resuming his work.,A brief <MASK> during the afternoon helped him recharge and improve his focus for the rest of the day.,Elle a acheté un nouveau <MASK> pour sa maison.,La <MASK> brodée a ajouté une touche chaleureuse et décorative à l'organisation du dîner en famille.
163,novel,nouvelle,FALSE COGNATE,N,The <MASK> was captivating.,"The <MASK> wove a long, compelling narrative that kept readers on the edge of their seats from beginning to end.",Il a écrit un <MASK> pour la classe.,Le <MASK> a magistralement résumé les émotions humaines complexes et les problèmes sociétaux dans un bref récit.
164,pool,poule,FALSE COGNATE,N,The <MASK> is a fun place to relax.,"The <MASK> shimmered under the sun, inviting them for a refreshing swim on a hot day.",Ils ont élevé un <MASK> dans leur jardin.,"Le <MASK> gloussa joyeusement alors qu'il se promenait librement autour du poulailler, picorant le sol."
165,petulance,pétulance,FALSE COGNATE,N,His <MASK> was hard to handle.,"The child's <MASK> became evident when he didn't get his way, making it challenging for his parents.",Son <MASK> égayait la pièce.,Son <MASK> contagieux et son sourire radieux ont apporté chaleur et énergie à chaque rassemblement.
166,glaze,glaise,FALSE COGNATE,N,The <MASK> on the donut looked delicious.,"The <MASK> added a beautiful shine to the pottery, enhancing its visual appeal significantly.",Il a façonné le <MASK> dans un bol.,"Avec des mains exercées, il a moulé le doux <MASK> dans un bol élégant, lissant chaque bord avec précision."
167,jest,geste,FALSE COGNATE,N,His joke was a <MASK>.,"The lighthearted <MASK> brought laughter to the room, diffusing the tension of the earlier discussion.",Elle fit un <MASK> amical en passant.,Elle a donné un <MASK> chaleureux en offrant sa place à la femme âgée qui se tenait à proximité.
168,corn,corne,FALSE COGNATE,N,They harvested <MASK> from the field.,"The <MASK> stood tall and golden, ready for harvest and eager to be transformed into delicious meals.",Le <MASK> de l’animal brillait sous la lumière du soleil.,Le <MASK> unique et en spirale de la licorne possédait des pouvoirs de guérison mystiques dans le folklore.
169,blanket,blanquette,FALSE COGNATE,N,She grabbed a <MASK> from the couch.,"The warm <MASK> provided comfort on the chilly evening, making her feel cozy and secure.",Elle a préparé un <MASK> pour le dîner.,"Elle prépara un copieux <MASK>, le faisant mijoter lentement avec de riches épices et des légumes frais pour faire ressortir la saveur profonde et réconfortante de la viande."
170,tutor,tuteur,FALSE COGNATE,N,The <MASK> explained the topic clearly.,"Seeking extra help, he decided to hire a <MASK> to improve his understanding of math concepts.",Le <MASK> de l’enfant les a accompagnés à l’école.,"Le <MASK> attentif accompagnait l'enfant à l'école chaque matin, s'assurant qu'il arrivait en toute sécurité et à l'heure."
171,triviality,trivialité,FALSE COGNATE,N,The <MASK> of the issue was clear.,"The discussion centered around the <MASK> of the matter, revealing a lack of depth in understanding.",Il a évité <MASK> dans son discours.,"Malgré le débat intense, il évitait tout <MASK>, choisissant soigneusement ses mots pour exprimer le respect."
172,trick,trique,FALSE COGNATE,N,She pulled a funny <MASK> on her friend.,"The magician's <MASK> left the audience in awe, as he made the rabbit disappear in an instant.",Elle ramassa le <MASK> par terre.,"Elle agrippa fermement le lourd <MASK>, prête à se défendre si nécessaire."
173,traitor,traiteur,FALSE COGNATE,N,He was declared to be a <MASK> by the authorities.,"His betrayal of the group led to him being labeled a <MASK>, forever changing the dynamics of their friendship.",Le <MASK> a préparé la nourriture pour l'événement.,"Les experts <MASK> ont soigneusement disposé les plateaux, garantissant que chaque plat était appétissant et frais pour les invités."
174,target,targette,FALSE COGNATE,N,The <MASK> was clearly marked.,The <MASK> on the board indicated where the participants needed to aim during the archery practice.,Il fit glisser le <MASK> en place.,"Elle a sécurisé le lourd <MASK>, ressentant un sentiment de sécurité alors qu'elle s'enfermait pour la nuit."
175,scheme,schème,FALSE COGNATE,N,They devised a complex <MASK>.,"The elaborate <MASK> involved multiple players, each with a specific role in executing the plan.",Le <MASK> l'a aidé à organiser ses idées.,"Le <MASK> soigneusement conçu a fourni une structure détaillée, le guidant à travers chaque étape de son projet de recherche."
176,rosary,roseraie,FALSE COGNATE,N,She prayed with her <MASK>.,The <MASK> hung from her hand as she whispered her prayers in a moment of quiet reflection.,Ils ont visité le <MASK> dimanche.,"Ils se promenèrent dans le <MASK>, admirant les fleurs rouges vibrantes et le parfum délicat qui remplissait l'air."
177,riddle,ridelle,FALSE COGNATE,N,The <MASK> was challenging.,"The <MASK> puzzled everyone, requiring careful thought to unravel its hidden meaning.",Elle a remplacé le <MASK> cassé dans la clôture.,"Après la tempête, elle a refixé chaque <MASK> détaché sur la clôture, le restaurant à son état d'origine."
178,rest,reste,FALSE COGNATE,N,He needed a moment of <MASK>.,"After a long day of hiking, the campers settled into their tents, grateful for a moment of <MASK> before the next day's journey.",Elle a emballé le <MASK> après le dîner.,"Après le grand dîner de famille, elle a soigneusement emballé le <MASK>, sachant qu'ils prépareraient un excellent déjeuner le lendemain."
179,reply,repli,FALSE COGNATE,N,She waited for a <MASK>.,"Eagerly anticipating a <MASK>, she checked her messages multiple times throughout the day.",Il fit un <MASK> pointu dans le papier.,"Avec précision, il a créé un <MASK> soigné dans le papier pour garantir une œuvre d'art origami propre."
180,rape,râpe,FALSE COGNATE,N,The news reported a case of <MASK>.,"There are significant complexities surrounding <MASK>, particularly regarding victim support, societal stigma, and the importance of consent in contemporary discussions on sexual violence.",Il a utilisé le <MASK> pour le fromage.,"Elle passa soigneusement le bloc de fromage sur le <MASK>, regardant les fins copeaux tomber sur l'assiette en dessous."
181,raffle,rafle,FALSE COGNATE,N,They entered the <MASK> for a chance to win.,"Participants eagerly bought tickets for the <MASK>, hoping to win the grand prize of a luxury vacation.",Le <MASK> s'est produit tôt le matin.,"L'inattendu <MASK> a perturbé la matinée calme, les agents sécurisant rapidement les lieux."
182,quill,quille,FALSE COGNATE,N,He wrote the letter with a <MASK>.,"The ancient manuscript was beautifully penned with a <MASK>, showcasing the artistry of the calligrapher.",Le <MASK> du bateau le maintenait stable dans les eaux agitées.,"Le <MASK> robuste du bateau assurait l'équilibre, lui permettant de naviguer dans des eaux agitées sans basculer."
183,patent,patente,FALSE COGNATE,N,She wished for a <MASK> for her invention.,"The inventor eagerly awaited approval for her <MASK>, which would protect her innovative design from being copied.",Elle a demandé un <MASK> pour démarrer son entreprise.,"Après des mois de préparation, elle a finalement obtenu un <MASK> pour ouvrir officiellement son restaurant au public."
184,flick,flic,FALSE COGNATE,N,She gave the switch a quick <MASK>.,"With a swift <MASK> of his wrist, the magician made the coin disappear before the audience's eyes.",Le <MASK> s'est dirigé vers le centre-ville.,"Le <MASK> expérimenté a dirigé efficacement la circulation pendant la pointe matinale, assurant ainsi la sécurité de tous."
185,lock,loquet,FALSE COGNATE,N,The <MASK> clicked shut when I closed it.,"The heavy <MASK> clicked into place, ensuring the house was safe and secure for the night.",Elle tourna le <MASK> pour sécuriser la porte.,"Avec une rotation rapide du <MASK>, elle ressentit un sentiment de sécurité alors qu'elle verrouillait la porte pour la nuit."
186,loop,loupe,FALSE COGNATE,N,He tied the rope in a <MASK>.,"The knot formed a tight <MASK>, providing the necessary support for the heavy load.",Il a utilisé un <MASK> pour lire les petits caractères.,"Avec une attention particulière, il a tenu le <MASK> sur le document, examinant chaque petit détail pour en vérifier l'exactitude."
187,leg,legs,FALSE COGNATE,N,He injured his <MASK> while playing.,"The runner’s <MASK> injury sidelined him from the competition, forcing him to undergo rehabilitation.",Son <MASK> a continué à influencer la communauté.,Le <MASK> de générosité et de créativité de l’artiste a continué d’inspirer les jeunes talents de la communauté longtemps après son décès.
188,jug,joug,FALSE COGNATE,N,She poured juice into the <MASK>.,"The glass <MASK> was filled with freshly squeezed juice, ready to be served at breakfast.",Le <MASK> reliait les deux bœufs à la charrue.,"Le lourd <MASK> en bois reposait sur les épaules des bœufs, les aidant à tirer la charrue à travers le champ à l'unisson."
189,jacket,jacquet,FALSE COGNATE,N,He wore a warm <MASK> for winter.,"The thick <MASK> kept him warm during the harsh winter months, protecting him from the biting cold.",Ils ont joué à <MASK> au café.,"Les deux amis ont apprécié une partie animée de <MASK> au café, élaborant une stratégie pour chaque mouvement avec un enthousiasme compétitif."
190,inconvenience,inconvenance,FALSE COGNATE,N,The situation was an <MASK>.,"The flat tire was a significant <MASK>, delaying their trip and causing frustration.",La fête s'est terminée dans <MASK>.,"L'atmosphère raffinée de la soirée a été éclipsée par un moment de <MASK>, laissant les invités mal à l'aise."
191,actual,actuel,FALSE COGNATE,ADJ,The <MASK> price was lower.,"The <MASK> price of the product was significantly lower than what was initially advertised, surprising many customers.",Le sujet d'actualité <MASK> était à la mode en ligne.,"La question <MASK> du changement climatique reste au centre des débats mondiaux, impactant les politiques et les initiatives à travers le monde."
192,dishonest,déshonnête,FALSE COGNATE,ADJ,His <MASK> actions were revealed.,"The investigation uncovered his <MASK> actions, leading to severe consequences for his career and reputation.",Sa vantardise de <MASK> a ennuyé tout le monde.,"L'enquête a révélé ses actions <MASK>, entraînant de graves conséquences pour sa carrière et sa réputation. inconfortablement vantarde."
