ID,en,en_meaning,es,es_meaning,type,lexical_category
212,fastidious,extremely or excessively careful or detailed.,fastidioso,"Annoying, importunate ; causing displeasure, uneasiness and boredom.",FALSE COGNATE,ADJ
213,fiery,consisting of fire.,fiero,"Belonging or relating to wild beasts: ferocious, wild",FALSE COGNATE,ADJ
214,gracious,marked by kindness and courtesy.,gracioso,That is pleasing or attractive to the eye.,FALSE COGNATE,ADJ
215,collegial,marked by camaraderie among colleagues.,colegial,Belonging or relating to school.,FALSE COGNATE,ADJ
216,imperious,marked by arrogant assurance : domineering.,imperioso,"Necessary, urgent, pressing",FALSE COGNATE,ADJ
217,impudent,marked by contemptuous or cocky boldness or disregard of others : insolent.,impúdico,Lacking modesty or modesty.​,FALSE COGNATE,ADJ
218,inconvenient,not convenient especially in giving trouble or annoyance : inopportune.,inconveniente,"Unsuitable, improper, inadvisable",FALSE COGNATE,ADJ
219,industrious,"constantly, regularly, or habitually active or occupied : diligent.",industrioso,Skillful and ingenious.,FALSE COGNATE,ADJ
220,uneducated,having or showing little or no formal schooling : not educated.,ineducado,"ill-mannered, impolite",FALSE COGNATE,ADJ
221,unused,not habituated : unaccustomed.,inusitado,"unusual, uncommon",FALSE COGNATE,ADJ
222,magisterial,of or relating to a magistrate or a magistrate's office or duties,magisterial,"Related to teaching, or the teaching profession.",FALSE COGNATE,ADJ
223,large,exceeding most other things of like kind especially in quantity or size : big.,largo,Having length.,FALSE COGNATE,ADJ
224,literate,"educated, cultured.",literato,"Said of a person: writer, author",FALSE COGNATE,ADJ
225,lunatic,someone affected with a severely disordered state of mind.,lunático,"Whimsical, moody, capricious, temperamental",FALSE COGNATE,ADJ
226,morose,having a sullen and gloomy disposition.,moroso,One who falls into default.,FALSE COGNATE,ADJ
227,mundane,"of, relating to, or characteristic of the world.",mundano,"Worldly, earthly, social, fashionable",FALSE COGNATE,ADJ
228,notorious,generally known and talked of.,notorio,"Public and known by all: famous, well-known, noted",FALSE COGNATE,ADJ
229,pathetic,having a capacity to move one to either compassionate or contemptuous pity.,patético,That which deeply moves or causes great pain or sadness.,FALSE COGNATE,ADJ
230,quiet,the quality or state of being quiet : tranquility.,quieto,"That does not have or does not make movement: still, motionless",FALSE COGNATE,ADJ
231,relevant,having significant and demonstrable bearing on the matter at hand.,relevante,"Outstanding, notable, excellent.",FALSE COGNATE,ADJ
232,sane,proceeding from a sound mind : rational.,sano,That enjoys perfect health.,FALSE COGNATE,ADJ
233,sympathetic,"existing or operating through an affinity, interdependence, or mutual association.",simpático,Worthy of being loved; likeable.,FALSE COGNATE,ADJ
234,transcendent,exceeding usual limits : surpassing.,trascendente,"Important, significant.",FALSE COGNATE,ADJ
235,versatile,"embracing a variety of subjects, fields, or skills; also : turning with ease from one thing to another.",versátil,"Fickle, changeable, flaky.",FALSE COGNATE,ADJ
236,vicious,dangerously aggressive : savage.,vicioso,"That has, suffers from or causes vice, error or defect.",FALSE COGNATE,ADJ
237,fatuous,complacently or inanely foolish : silly.,fatuo,Full of presumption or unfounded and ridiculous vanity: conceited,FALSE COGNATE,ADJ
238,gentle,"free from harshness, sternness, or violence.",gentil,"Beautiful, pleasant, or graceful.",FALSE COGNATE,ADJ
239,illiterate,having little or no education; especially : unable to read or write.,illiterato,"Ignorant, unschooled, and not versed in science or human letters.",FALSE COGNATE,ADJ
240,obsequious,obedient or attentive to an excessive or servile degree.,obsequioso,"Subdued, courteous, and willing to do another 's will.",FALSE COGNATE,ADJ
241,ascendancy,governing or controlling influence: domination.,ascendencia,Series of ancestors or predecessors of someone.,FALSE COGNATE,N
242,ardor,an often restless or transitory warmth of feeling.,ardor,Great heat.,FALSE COGNATE,N
243,arena,an area in a Roman amphitheater for gladiatorial combats.,arena,"Set of disaggregated particles of rocks, especially if they are siliceous, and accumulated, either on the shores of the sea or rivers, or in layers of the drift terrain.",FALSE COGNATE,N
244,bonanza,"something that is very valuable, profitable, or rewarding.",bonanza,Calm or serene weather at sea.,FALSE COGNATE,N
245,candor,"unreserved, honest, or sincere expression : forthrightness",candor,"Innocence, naivety, gullibility, credulity.",FALSE COGNATE,N
246,cargo,"the goods or merchandise conveyed in a ship, airplane, or vehicle : freight",cargo,Person who holds a position.,FALSE COGNATE,N
247,collar,a band that serves to finish or decorate the neckline of a garment,collar,Ornament that encircles or surrounds the neck,FALSE COGNATE,N
248,china,"porcelain; also : vitreous porcelain wares (such as dishes, vases, or ornaments) for domestic use.",china,"A trick that boys play by putting a small stone or something similar in their fist, and, presenting both closed hands, the one who points to the hand in which the stone is held loses.",FALSE COGNATE,N
249,disco,a nightclub for dancing to live and recorded music.,disco,"""Disk” or “disc” in several contexts: in computers, in brakes, as part of the spine.",FALSE COGNATE,N
250,lance,a steel-tipped spear carried by mounted knights or light cavalry.,lance,"Adventure, episode, or critical occasion.",FALSE COGNATE,N
251,lid,a movable cover for the opening of a hollow container (such as a vessel or box).,lid,"Combat, fight.",FALSE COGNATE,N
252,mayor,"an official elected or appointed to act as chief executive or nominal head of a city, town, or borough",mayor,"Ancestors, whether or not they are parents of the speaker or of another specific person.",FALSE COGNATE,N
253,memorial,serving to preserve remembrance : commemorative.,memorial,"Petition, document, or notebook in which something is noted or recorded for a purpose.",FALSE COGNATE,N
254,mole,"a pigmented spot, mark, or small permanent protuberance on the human body; especially : nevus.",mole,very heavy and bulky thing.,FALSE COGNATE,N
255,mote,a small particle : speck,mote,Nickname given to a person for a quality or condition of his or hers.,FALSE COGNATE,N
256,cigar,a small roll of tobacco wrapped in tobacco leaf for smoking.,cigarro,Cigarette; roll of tobacco leaves wrapped in paper which is lit at one end and smoked or sucked at the other end.,FALSE COGNATE,N
257,propaganda,"ideas, facts, or allegations spread deliberately to further one's cause or to damage an opposing cause; also : a public action having such an effect",propaganda,Promotion of ideas or policies for publicity or advertisement.,FALSE COGNATE,N
258,trance,a sleeplike state (as of deep hypnosis) usually characterized by partly suspended animation with diminished or absent sensory and motor activity,trance,"Critical moment, awkward situation, or tight corner.",FALSE COGNATE,N
259,tuna,"any of various large vigorous scombroid fishes (as of the genera Euthynnus, Katsuwonus, and especially Thunnus) that are usually dark above and silvery below and include many that are valued as food or sport fishes.",tuna,prickly pear fig tree.,FALSE COGNATE,N
260,axis,a straight line about which a body or a geometric figure rotates or may be supposed to rotate.,axis,the second vertebra in the spine,FALSE COGNATE,N
261,actual,existing in fact or reality.,actual,Said of the time in which one is : present.,FALSE COGNATE,ADJ
262,commodious,comfortable or conveniently spacious: roomy.,cómodo,"Convenient, timely, accommodating, easy, proportionate.",FALSE COGNATE,ADJ
263,casual,feeling or showing little concern,casual,That which happens by chance.,FALSE COGNATE,ADJ
264,clerical,"concerned with or relating to work in an office, especially routine documentation and administrative tasks.",clerical,"priestly, referring to the clergy",FALSE COGNATE,ADJ
265,eventual,taking place at an unspecified later time : ultimately resulting.,eventual,Said of a worker : Who does not belong to a company's staff and provides his services on a provisional basis.,FALSE COGNATE,ADJ
266,formidable,"causing fear, dread, or apprehension.",formidable,"Marvelous, terrific, fantastic.",FALSE COGNATE,ADJ
267,genial,marked by or freely expressing sympathy or friendliness.,genial,Characteristic of someone 's genius or inclination.,FALSE COGNATE,ADJ
268,informal,marked by the absence of formality or ceremony.,informal,"Unreliable, undependable, or incorrect conduct.",FALSE COGNATE,ADJ
269,inhabitable,to occupy as a place of settled residence or habitat : live in,inhabitable,Not habitable.,FALSE COGNATE,ADJ
270,insensible,incapable or bereft of feeling or sensation.,insensible,Said of a living being or a part of it : Unable to experience sensations.,FALSE COGNATE,ADJ
271,defunct,"no longer existing or functioning: non-functional, discontinued.",difunto,"Deceased person: dead, lifeless.",FALSE COGNATE,ADJ
272,miserable,being in a pitiable state of distress or unhappiness (as from want or shame).,miserable,extremely poor.,FALSE COGNATE,ADJ
273,novel,new and not resembling something formerly known or used.,novel,"One who begins to practice an art or profession, or has little experience in them.",FALSE COGNATE,ADJ
274,regular,"constituted, conducted, scheduled, or done in conformity with established or prescribed usages, rules, or discipline.",regular,"Of average, mediocre, or inferior size or condition.",FALSE COGNATE,ADJ
275,sensible,"having, containing, or indicative of good sense or reason : rational, reasonable.",sensible,Said of a living being or one of its organs : Capable of experiencing sensations.,FALSE COGNATE,ADJ
276,suave,smoothly though often superficially gracious and sophisticated.,suave,"Smooth and soft to the touch, without roughness or harshness.",FALSE COGNATE,ADJ
277,voluble,characterized by ready or rapid speech,voluble,Of an inconstant character.,FALSE COGNATE,ADJ
278,vulgar,"lacking in cultivation, perception, or taste : coarse.",vulgar,"banal, common, trite.",FALSE COGNATE,ADJ
279,extra,"more than is due, usual, or necessary : additional",extra,extraordinary.,FALSE COGNATE,ADJ
280,formal,belonging to or constituting the form or essence of a thing.,formal,"reliable, dependable.",FALSE COGNATE,ADJ
281,advertisement,a public notice; especially : a paid notice that is published or broadcast (as to attract customers or to provide information of public interest),anuncio,Visual or auditory support in which an advertising message is transmitted.,NON COGNATE,N
282,balloon,a nonporous bag of light material that can be inflated especially with air or gas.,globo,"Everyday term for ""balloon"" - both the toy and the hot-air balloon to ride in.",NON COGNATE,N
283,cave,a natural chamber or series of chambers in the earth or in the side of a hill or cliff.,cueva,"A more or less extensive underground cavity, either natural or artificially constructed.",NON COGNATE,N
284,carpet,a heavy often tufted fabric used as a floor covering; also : a floor covering made of this fabric.,alfombra,"Fabric made of wool or other materials, and of various designs and colors, used to cover the floors of rooms and stairs for shelter and decoration.",NON COGNATE,N
285,diversion,"the act or an instance of diverting or straying from a course, activity, or use : deviation.",desvío,Action and effect of deviating or diverting.,NON COGNATE,N
286,vase,a usually round vessel of greater depth than width used chiefly as an ornament or for holding flowers,jarrón,"A vessel, usually made of porcelain, artistically carved, to decorate consoles, fireplaces, etc.",NON COGNATE,N
287,parade,a public procession usually to mark a holiday or event; especially : one involving many different people or groups who travel down a street.,desfile,Action of parading.,NON COGNATE,N
288,code,a systematic statement of a body of law; especially : one given statutory force,clave,Code of agreed signs for the transmission of secret or private messages.,NON COGNATE,N
289,arm,a human upper limb; especially : the part between the shoulder and the wrist.,brazo,Member of the body that extends from the shoulder to the tip of the hand.,NON COGNATE,N
290,casualty,"a military person lost through death, wounds, injury, sickness, internment, or capture or through being missing in action",víctima,A person who exposes or offers himself to serious risk as a gift for another.,NON COGNATE,N
291,alcove,a small recessed section of a room : nook.,nicho,"Concavity in the thickness of a wall, to place a statue, a vase or something else in it.",NON COGNATE,N
292,signature,the act of signing one's name to something.,firma,"Name and surname written by a person in his or her own hand on a document, with or without a signature, to give it authenticity or show approval of its content",NON COGNATE,N
293,bark,tough exterior covering of a woody root or stem,corteza,the hard outer covering of a tree.,NON COGNATE,N
294,cask,"a barrel-shaped vessel of staves, headings, and hoops usually for liquids.",barril,"A generally cylindrical container, made of wood or metal, used to preserve, treat and transport different liquids and goods.",NON COGNATE,N
295,exit,—used as a stage direction to specify who goes off stage,salida,Part through which one exits a site or place.,NON COGNATE,N
296,Action and effect of one or more people speaking familiarly with another or others.,the time at which an event occurs,fecha,Time when something is done or happens.,NON COGNATE,N
297,deception,the act of causing someone to accept as true or valid what is false or invalid : the act of deceiving.,engaño,Action and effect of deceiving.,NON COGNATE,N
298,discussion,consideration of a question in open and usually informal debate.,conversación,Action and effect of one or more people speaking familiarly with another or others.,NON COGNATE,N
299,expectation,the act or state of expecting : anticipation.,previsión,Action and effect of foreseeing.,NON COGNATE,N
300,fabric,a material that resembles cloth,tela,"Work, especially that woven on a loom, made of many threads, which, interlaced alternately and regularly along their entire length, form a kind of sheet.",NON COGNATE,N
301,float,vehicle with a platform used to carry an exhibit in a parade,carroza,Vehicle specially prepared to participate in public functions.,NON COGNATE,N
302,gratification,the act of gratifying : the state of being gratified.,satisfacción,Action and effect of satisfying or being satisfied ,NON COGNATE,N
303,inconvenience,something that is inconvenient.,incomodidad,Lack of comfort,NON COGNATE,N
304,idiom,"an expression in the usage of a language that is peculiar to itself either in having a meaning that cannot be derived from the conjoined meanings of its elements (such as up in the air for ""undecided"") or in its grammatically atypical use of words (such as give way).",modismo,"Fixed expression, exclusive to a language, whose meaning cannot be deduced from the words that form it ; e.g., a troche y moche.",NON COGNATE,N
305,informality,marked by the absence of formality or ceremony.,sencillez,Quality of being simple.,NON COGNATE,N
306,ingenuity,skill or cleverness in devising or combining : inventiveness.,ingenio,Human ability to reason or invent quickly and easily.,NON COGNATE,N
307,injury,"hurt, damage, or loss sustained.",lesión,Bodily harm or damage caused by a wound,NON COGNATE,N
308,journal,"a record of experiences, ideas, or reflections kept regularly for private use : diary",diario,Account of what has happened day by day,NON COGNATE,N
309,jubilation,an act of rejoicing : the state of being jubilant.,alborozo,Extraordinary joy or happiness ,NON COGNATE,N
310,lecturer,"a person who gives lectures, especially as an occupation at a university or college of higher education.",profesor,Person who practices or teaches a science or art.,NON COGNATE,N
311,library,"a place in which literary, musical, artistic, or reference materials (such as books, manuscripts, recordings, or films) are kept for use but not for sale.",biblioteca,Place where a considerable number of books are arranged for reading ,NON COGNATE,N
312,lantern,a usually portable protective case for a light with transparent openings.,farol,"Glass box or other transparent material, inside which a light is placed ",NON COGNATE,N
313,mantle,a loose sleeveless garment worn over other clothes : cloak.,manto,"A type of large mantilla without a lining, worn by ladies ",NON COGNATE,N
314,mascara,a cosmetic especially for making the eyelashes darker and more prominent.,rímel,Cosmetic to blacken and harden eyelashes ,NON COGNATE,N
315,meeting,an act or process of coming together: such as.,reunión,Action and effect of gathering,NON COGNATE,N
316,motto,"a sentence, phrase, or word inscribed on something as appropriate to or indicative of its character or use.",lema,Text that accompanies a shield or emblem ,NON COGNATE,N
317,office,a place where a particular kind of business is transacted or a service is supplied,oficina,"Place where something is done, ordered or worked on ",NON COGNATE,N
318,parent,one that begets or brings forth offspring.,padres,father and mother of a person or animal.,NON COGNATE,N
319,pain,a localized or generalized unpleasant bodily sensation or complex of sensations that causes mild to severe physical discomfort and emotional distress and typically results from bodily disorder (such as injury or disease); also : the state marked by the presence of such sensations.,dolor,Annoying and distressing sensation in a part of the body due to internal or external causes ,NON COGNATE,N
320,pot,"a usually rounded metal or earthen container used chiefly for domestic purposes (as in cooking or for holding liquids or growing plants); also : any of various technical or industrial vessels or enclosures resembling or likened to a household pot
potful.",olla,"A round clay or metal vessel, commonly shaped like a belly, with a wide neck and mouth and one or two handles, which is used to cook food, heat water, etc",NON COGNATE,N
321,alumnus,"a person who has attended or has graduated from a particular school, college, or university —usually used of a man in the singular but often of men and women in the plural.",ex alumno,"A person who received teaching from a teacher, or with respect to the school or college where they studied.",NON COGNATE,N
322,anxiety,apprehensive uneasiness or nervousness usually over an impending or anticipated ill : a state of being anxious.,inquietud,"Lack of quiet, restlessness, uneasiness ",NON COGNATE,N
323,apology,an admission of error or discourtesy accompanied by an expression of regret.,disculpa,Reason given or cause alleged to excuse or purge a fault ,NON COGNATE,N
324,assistance,the act of helping or assisting someone or the help supplied : aid,ayuda,Action and effect of helping ,NON COGNATE,N
325,baggage,"suitcases, trunks, and personal belongings of travelers : luggage.",equipaje,Set of things that are taken on trips ,NON COGNATE,N
326,verandah,a usually roofed open gallery or portico attached to the exterior of a building,galería,Gallery with arcades or columns along a facade or courtyard wall.​ ​,NON COGNATE,N
327,barracks,a building or set of buildings used especially for lodging soldiers in garrison,cuartel,"Each of the posts or sites in which the army is distributed and quartered when it is on campaign or besieging a square, and is distributed by regiments​ ",NON COGNATE,N
328,bigot,a person who is obstinately or intolerantly devoted to his or her own opinions and prejudices,fanatismo,"Passion and excessive tenacity in the defense of beliefs or opinions, especially religious or political ones ",NON COGNATE,N
329,blank,"appearing or causing to appear dazed, confounded, or nonplussed.",incolora,Lacking color ,NON COGNATE,N
330,boutique,a small shop dealing in fashionable clothing or accessories.,tienda,"House, stand or place where retail trade articles are sold to the public ",NON COGNATE,N
331,bland,smooth and soothing in manner or quality.,insípido,Lacking in flavor,NON COGNATE,ADJ
332,ancient,having had an existence of many years.,antiguo,That has existed for a long time,NON COGNATE,ADJ
333,anxious,characterized by extreme uneasiness of mind or brooding fear about some contingency : worried.,inquieto,Disquieted by an agitation of the spirit,NON COGNATE,ADJ
334,apparent,clear or manifest to the understanding,evidente,"Certain, clear, obvious and without the slightest doubt",NON COGNATE,ADJ
335,callous,feeling no emotion,insensible,Unable to appreciate something or react emotionally to it ,NON COGNATE,ADJ
336,candid,marked by honest sincere expression.,franco,Sincere and loyal in his dealings.,NON COGNATE,ADJ
337,zealous,"marked by fervent partisanship for a person, a cause, or an ideal : filled with or characterized by zeal",entusiasta,One who feels enthusiasm for someone or something.,NON COGNATE,ADJ
338,coloured,"a phenomenon of light (such as red, brown, pink, or gray) or visual perception that enables one to differentiate otherwise identical objects",colorido,Having colour or a diversity of colours.,NON COGNATE,ADJ
339,comprehensive,covering completely or broadly : inclusive.,amplio,"Extensive, dilated, spacious.",NON COGNATE,ADJ
340,conservative,of or relating to a philosophy of conservatism.,conservador,Favorable to maintaining established values ​​and principles in the face of innovations.,NON COGNATE,ADJ
341,convenient,suited to personal comfort or to easy performance.,cómodo,"Convenient, timely, accommodating, easy, proportionate.",NON COGNATE,ADJ
342,derogatory,expressive of a low opinion : disparaging.,despreciativo,Indicating contempt.,NON COGNATE,ADJ
343,dishonest,"shameful, unchaste.",fraudulento,"Deceptive, fallacious.",NON COGNATE,ADJ
344,effective,"producing a decided, decisive, or desired effect.",eficaz,That is effective.,NON COGNATE,ADJ
345,egregious,conspicuous; especially : conspicuously bad : flagrant.,notable,"Worthy of note, attention or care",NON COGNATE,ADJ
346,embarrassed,feeling or showing a state of self-conscious confusion and distress.,confuso,"Troubled, fearful, perplexed ",NON COGNATE,ADJ
347,individious,of an unpleasant or objectionable nature.,injusto,Not fair or equitable ,NON COGNATE,ADJ
348,erratic,having no fixed course : wandering.,excéntrico ,"Of rare, extravagant character",NON COGNATE,ADJ
349,stolid,having or expressing little or no sensibility : unemotional.,insensible,Said of a living being or a part of it : Unable to experience sensations ,NON COGNATE,ADJ
350,extemporaneous,"composed, performed, or uttered on the spur of the moment : impromptu.",improvisado,Said of a person or a thing : That fulfills or has a function for which it was not intended ,NON COGNATE,ADJ
351,extravagant,exceeding the limits of reason or necessity.,exorbitante,"Excessive, exaggerated ",NON COGNATE,ADJ
352,fastidious,extremely or excessively careful or detailed.,delicado,"Fine, attentive, soft, tender",NON COGNATE,ADJ
353,fiery,consisting of fire.,ardiente,That causes burning or seems to burn ,NON COGNATE,ADJ
354,gracious,marked by kindness and courtesy.,cortés,"Attentive, restrained, affable, urban",NON COGNATE,ADJ
355,collegial,marked by camaraderie among colleagues.,cooperativo,That cooperates or can cooperate with someone or something.,NON COGNATE,ADJ
356,imperious,marked by arrogant assurance : domineering.,arrogante,"Arrogant, haughty, insolent.",NON COGNATE,ADJ
357,impudent,marked by contemptuous or cocky boldness or disregard of others : insolent.,insolente,One who commits insolence,NON COGNATE,ADJ
358,inconvenient,not convenient especially in giving trouble or annoyance : inopportune.,incómodo,Lacking comfort.,NON COGNATE,ADJ
359,industrious,"constantly, regularly, or habitually active or occupied : diligent.",aplicado,Showing application or assiduity,NON COGNATE,ADJ
360,uneducated,having or showing little or no formal schooling : not educated.,inculto,Lacking culture or having a low cultural level,NON COGNATE,ADJ
361,unused,not habituated : unaccustomed.,libre,Said of a place or a building : That is alone and isolated and that does not have an adjoining house ,NON COGNATE,ADJ
362,laborer,one that labors.,jornalero,"Person who works for a daily wage,",NON COGNATE,ADJ
363,large,exceeding most other things of like kind especially in quantity or size : big.,voluminoso,Having a lot of volume.,NON COGNATE,ADJ
364,literate,"educated, cultured.",erudito,"Educated in various sciences, arts and other subjects",NON COGNATE,ADJ
365,lunatic,someone affected with a severely disordered state of mind.,descabellado,"That goes out of order, harmony or reason",NON COGNATE,ADJ
366,morose,having a sullen and gloomy disposition.,sombrío,Said of a place : Of little light and where there is often shade ,NON COGNATE,ADJ
367,mundane,"of, relating to, or characteristic of the world.",trivial,"Vulgarized, common and known to everyone ",NON COGNATE,ADJ
368,notorious,widely and unfavorably known,infame,Very bad and vile in its kind ,NON COGNATE,ADJ
369,pathetic,having a capacity to move one to either compassionate or contemptuous pity.,lastimoso,"Lacking honor, credit and esteem",NON COGNATE,ADJ
370,quiet,the quality or state of being quiet : tranquility.,silencioso,Said of a person : Who is silent or has the habit of being silent,NON COGNATE,ADJ
371,relevant,having significant and demonstrable bearing on the matter at hand.,pertinente,Belonging or corresponding to something ,NON COGNATE,ADJ
372,sane,proceeding from a sound mind : rational.,cuerdo,Who is in his right mind,NON COGNATE,ADJ
373,sympathetic,"existing or operating through an affinity, interdependence, or mutual association.",compasivo,One who feels compassion,NON COGNATE,ADJ
374,transcendent,exceeding usual limits : surpassing.,sobresaliente,That stands out ,NON COGNATE,ADJ
375,versatile,"embracing a variety of subjects, fields, or skills; also : turning with ease from one thing to another.",polifacético,That offers several facets or aspects,NON COGNATE,ADJ
376,vicious,dangerously aggressive : savage.,feroz,"Said of an animal : Fierce, aggressive",NON COGNATE,ADJ
377,fatuous,complacently or inanely foolish : silly.,vano,"Lacking reality, substance or entity",NON COGNATE,ADJ
378,gentle,"free from harshness, sternness, or violence.",dócil,"Gentle, gentle, easily taught​ ",NON COGNATE,ADJ
379,illiterate,having little or no education; especially : unable to read or write.,analfabeto,One who cannot read or write,NON COGNATE,ADJ
380,obsequious,obedient or attentive to an excessive or servile degree.,servil,That which grovellingly submits completely to someone 's authority,NON COGNATE,ADJ
381,ascendancy,governing or controlling influence: domination.,predominio,"Power, superiority, influence, or dominant force that one has over someone or something.",NON COGNATE,N
382,ardor,an often restless or transitory warmth of feeling.,pasión,Disturbance or disordered affect of the spirit,NON COGNATE,N
383,arena,an area in a Roman amphitheater for gladiatorial combats.,ruedo,Circular terrain intended for bullfighting and limited by the fence or barrier,NON COGNATE,N
384,bonanza,"something that is very valuable, profitable, or rewarding.",prosperidad,Condition of being prosperous or having good fortune.,NON COGNATE,N
385,candor,"unreserved, honest, or sincere expression : forthrightness",franqueza,"Simplicity, truthfulness, a way of expressing oneself or behaving free of pretense",NON COGNATE,N
386,cargo,"the goods or merchandise conveyed in a ship, airplane, or vehicle : freight",cargamento,Set of goods that a ship loads,NON COGNATE,N
387,collar,a band that serves to finish or decorate the neckline of a garment,cuello,"Loose strip of stiffened fabric or rigid material that is tied around the neck, typical of ecclesiastical attire",NON COGNATE,N
388,china,"porcelain; also : vitreous porcelain wares (such as dishes, vases, or ornaments) for domestic use.",porcelana,"A fine, shiny, usually translucent ceramic material that was invented in China",NON COGNATE,N
389,disco,a nightclub for dancing to live and recorded music.,discoteca,A public place where drinks are served and people dance to the sound of record music ,NON COGNATE,N
390,lance,a steel-tipped spear carried by mounted knights or light cavalry.,lanza,"Offensive weapon consisting of a long pole or stick at the end of which a sharp, pointed iron blade is fixed",NON COGNATE,N
391,lid,a movable cover for the opening of a hollow container (such as a vessel or box).,tapadera,A piece that fits over the mouth of a cavity to cover it,NON COGNATE,N
392,mayor,"an official elected or appointed to act as chief executive or nominal head of a city, town, or borough",alcalde,"Municipal authority that presides over a town council and executes the agreements of this corporation, without prejudice to its own powers, and is also the Government 's delegate in the administrative order",NON COGNATE,N
393,memorial,serving to preserve remembrance : commemorative.,conmemorativo,That commemorates or serves to commemorate something or someone,NON COGNATE,N
394,mole,"a pigmented spot, mark, or small permanent protuberance on the human body; especially : nevus.",lunar,"Each of the rounded drawings on fabrics, paper or other surface​ ",NON COGNATE,N
395,mote,a small particle : speck,mota,A particle of thread or other similar thing that sticks to clothing or other parts,NON COGNATE,N
396,cigar,a small roll of tobacco wrapped in tobacco leaf for smoking.,puro,Cigar made from rolled tobacco leaves and rolled without paper.,NON COGNATE,N
397,propaganda,"ideas, facts, or allegations spread deliberately to further one's cause or to damage an opposing cause; also : a public action having such an effect",doctrina,"Set of religious, philosophical, political, etc. ideas or opinions, held by a person or group",NON COGNATE,N
398,trance,a sleeplike state (as of deep hypnosis) usually characterized by partly suspended animation with diminished or absent sensory and motor activity,éxtasis,"State of the soul characterized by a certain mystical union with God through contemplation and love, and by the suspension of the senses",NON COGNATE,N
399,tuna,"any of various large vigorous scombroid fishes (as of the genera Euthynnus, Katsuwonus, and especially Thunnus) that are usually dark above and silvery below and include many that are valued as food or sport fishes.",atún,"Teleost fish, acanthopterygian, common in the seas of Spain, frequently two to three metres long, bluish black above and silver - grey below, and with very small eyes, whose meat is consumed fresh or preserved",NON COGNATE,N
400,axis,a straight line about which a body or a geometric figure rotates or may be supposed to rotate.,eje,"Bar, rod or similar piece that passes through a rotating body and supports it in movement",NON COGNATE,N
401,actual,existing in fact or reality.,verdadero,Containing truth,NON COGNATE,ADJ
402,commodious,comfortable or conveniently spacious: roomy.,espacioso,"Spacious, roomy, airy.",NON COGNATE,ADJ
403,casual,"subject to, resulting from, or occurring by chance.",informal,That does not keep the forms and rules provided,NON COGNATE,ADJ
404,clerical,"concerned with or relating to work in an office, especially routine documentation and administrative tasks.",secretarial,Belonging or relating to the position of secretary or to the secretariat,NON COGNATE,ADJ
405,eventual,taking place at an unspecified later time : ultimately resulting.,definitivo,"That decides, resolves or concludes",NON COGNATE,ADJ
406,formidable,"causing fear, dread, or apprehension.",terrible,That causes terror,NON COGNATE,ADJ
407,genial,marked by or freely expressing sympathy or friendliness.,jovial,"Joyful, festive, peaceful",NON COGNATE,ADJ
408,informal,marked by the absence of formality or ceremony.,sencillo,That does not offer difficulty,NON COGNATE,ADJ
409,inhabitable,to occupy as a place of settled residence or habitat : live in,habitable,That can be inhabited,NON COGNATE,ADJ
410,insensible,incapable or bereft of feeling or sensation.,inconsciente,"Not having knowledge of something concrete, or of one 's own actions and their consequences",NON COGNATE,ADJ
411,defunct,"no longer existing or functioning: non-functional, discontinued.",desaparecido,"Missing, defunct, non-functional.",NON COGNATE,ADJ
412,miserable,being in a pitiable state of distress or unhappiness (as from want or shame).,triste,"Afflicted, saddened ",NON COGNATE,ADJ
413,novel,new and not resembling something formerly known or used.,raro,"Extraordinary, uncommon or frequent ",NON COGNATE,ADJ
414,regular,"constituted, conducted, scheduled, or done in conformity with established or prescribed usages, rules, or discipline.",asiduo,"Frequent, punctual, persevering",NON COGNATE,ADJ
415,sensible,"having, containing, or indicative of good sense or reason : rational, reasonable.",razonable,"Adequate, in accordance with reason",NON COGNATE,ADJ
416,suave,smoothly though often superficially gracious and sophisticated.,afable,"Pleasant, sweet, gentle in conversation and treatment",NON COGNATE,ADJ
417,voluble,characterized by ready or rapid speech,locuacidad,Quality of being talkative,NON COGNATE,ADJ
418,vulgar,"lacking in cultivation, perception, or taste : coarse.",grosero,Said of a thing : In bad taste,NON COGNATE,ADJ
419,extra,"more than is due, usual, or necessary : additional",adicional,That which is added to or added to something,NON COGNATE,ADJ
420,formal,belonging to or constituting the form or essence of a thing.,solemne,"Formal, serious, firm, valid, accompanied by important circumstances or all the necessary requirements",NON COGNATE,ADJ
